County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,745,53,798,169.8,22,5/26/20
Adams,3,,3,70.6,,5/26/20
Bannock,16,4,20,23,,5/26/20
Bear Lake,,,0,,,5/26/20
Benewah,3,,3,32.5,,5/26/20
Bingham,6,,6,13,,5/26/20
Blaine,499,11,510,"2,256.50",5,5/26/20
Boise,,,0,,,5/26/20
Bonner,4,,4,8.9,,5/26/20
Bonneville,19,14,33,28.2,,5/26/20
Boundary,,,0,,,5/26/20
Butte,,,0,,,5/26/20
Camas,1,,1,88.7,,5/26/20
Canyon,266,21,287,128.4,6,5/26/20
Caribou,1,,1,14.2,,5/26/20
Cassia,48,1,49,205.3,1,5/26/20
Clark,,,0,,,5/26/20
Clearwater,,,0,,,5/26/20
Custer,2,,2,46.7,,5/26/20
Elmore,30,1,31,113.7,2,5/26/20
Franklin,,,0,,,5/26/20
Fremont,2,1,3,22.8,,5/26/20
Gem,13,4,17,96.4,,5/26/20
Gooding,33,7,40,263.2,,5/26/20
Idaho,3,,3,18.2,,5/26/20
Jefferson,5,2,7,23.8,,5/26/20
Jerome,131,23,154,641.3,2,5/26/20
Kootenai,66,,66,40.9,,5/26/20
Latah,6,1,7,17.4,,5/26/20
Lemhi,1,,1,12.6,,5/26/20
Lewis,,,0,,,5/26/20
Lincoln,30,2,32,597,,5/26/20
Madison,13,8,21,53.4,,5/26/20
Minidoka,36,4,40,192.1,,5/26/20
Nez Perce,73,9,82,202.9,19,5/26/20
Oneida,,,0,,,5/26/20
Owyhee,8,,8,68.4,,5/26/20
Payette,19,4,23,97.7,2,5/26/20
Power,3,,3,38.6,,5/26/20
Shoshone,,,0,,,5/26/20
Teton,10,1,11,94.5,,5/26/20
Twin Falls,329,67,396,460,22,5/26/20
Valley,2,,2,18.1,,5/26/20
Washington,31,3,34,334.6,,5/26/20
