County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"13,421","1,592","15,013","3,117.40",18.2,157
Adams,30,2,32,745.2,10,2
Bannock,"1,421",438,"1,859","2,117.10",41.3,9
Bear Lake,59,2,61,995.9,16.3,1
Benewah,161,3,164,"1,763.80",3.1,3
Bingham,"1,108",243,"1,351","2,886.10",43.6,13
Blaine,768,40,808,"3,509.80",34.1,6
Boise,60,15,75,957.7,3.7,2
Bonner,388,41,429,937.9,9.4,1
Bonneville,"3,007",736,"3,743","3,143.70",51.1,22
Boundary,57,37,94,767.7,30.3,1
Butte,66,11,77,"2,965.00",55,0
Camas,31,7,38,"3,435.80",,0
Canyon,"8,535",615,"9,150","3,980.90",24.4,106
Caribou,151,47,198,"2,767.30",59.9,4
Cassia,"1,018",95,"1,113","4,631.70",97.5,8
Clark,33,7,40,"4,733.70",33.8,0
Clearwater,104,16,120,"1,370.50",26.1,0
Custer,83,10,93,"2,155.30",46.4,1
Elmore,332,116,448,"1,628.40",17.1,4
Franklin,224,45,269,"1,938.60",52.5,1
Fremont,324,29,353,"2,694.90",69.8,3
Gem,334,53,387,"2,136.70",21.3,4
Gooding,356,80,436,"2,872.40",56.5,2
Idaho,275,13,288,"1,728.00",29.1,0
Jefferson,684,144,828,"2,771.90",46.9,3
Jerome,831,122,953,"3,903.80",42.1,7
Kootenai,"3,223",133,"3,356","2,025.40",26.9,46
Latah,782,25,807,"2,012.10",22.8,0
Lemhi,145,26,171,"2,130.30",73,0
Lewis,62,3,65,"1,693.60",44.7,2
Lincoln,107,24,131,"2,441.30",58.6,0
Madison,"1,659",243,"1,902","4,766.10",174.7,2
Minidoka,945,93,"1,038","4,933.70",97.8,8
Nez Perce,573,43,616,"1,524.50",26.5,24
Oneida,31,3,34,750.4,12.6,0
Owyhee,331,34,365,"3,087.20",14.5,5
Payette,927,141,"1,068","4,459.10",42.4,10
Power,290,46,336,"4,374.40",35.3,2
Shoshone,226,3,229,"1,777.70",10,19
Teton,229,24,253,"2,083.70",32.9,1
Twin Falls,"2,878",384,"3,262","3,754.70",64.6,42
Valley,99,8,107,939.3,3.8,1
Washington,384,36,420,"4,120.10",30.8,7
