County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,675",793,"11,468","2,381.30",12.1,129
Adams,24,1,25,582.2,,1
Bannock,618,33,651,741.4,5.2,3
Bear Lake,30,1,31,506.1,2.3,0
Benewah,121,0,121,"1,301.40",16.9,2
Bingham,464,17,481,"1,027.50",7.6,6
Blaine,588,18,606,"2,632.40",3.1,6
Boise,51,12,63,804.5,3.7,1
Bonner,218,7,225,491.9,4.4,0
Bonneville,"1,561",346,"1,907","1,601.70",24.5,11
Boundary,45,0,45,367.5,2.3,1
Butte,20,0,20,770.1,49.5,0
Camas,3,1,4,361.7,,0
Canyon,"6,978",407,"7,385","3,213.00",16.6,85
Caribou,38,3,41,573,2,0
Cassia,535,52,587,"2,442.80",4.8,4
Clark,17,4,21,"2,485.20",50.7,0
Clearwater,21,1,22,251.3,1.6,0
Custer,36,7,43,996.5,39.7,0
Elmore,242,53,295,"1,072.30",10.9,3
Franklin,53,6,59,425.2,2.1,0
Fremont,107,12,119,908.5,10.9,2
Gem,209,22,231,"1,275.40",15.8,2
Gooding,206,34,240,"1,581.10",16.9,1
Idaho,44,0,44,264,3.4,0
Jefferson,324,48,372,"1,245.40",17.2,1
Jerome,555,69,624,"2,556.10",18.1,6
Kootenai,"2,223",20,"2,243","1,353.70",6.6,30
Latah,246,10,256,638.3,8.2,0
Lemhi,52,18,70,872.1,,0
Lewis,9,0,9,234.5,,0
Lincoln,60,13,73,"1,360.40",16,0
Madison,219,49,268,671.6,13.3,0
Minidoka,532,37,569,"2,704.50",13.6,4
Nez Perce,299,25,324,801.8,11.3,19
Oneida,19,3,22,485.5,3.2,0
Owyhee,280,29,309,"2,613.50",10.9,5
Payette,634,83,717,"2,993.60",35.2,4
Power,132,2,134,"1,744.60",31.6,0
Shoshone,198,2,200,"1,552.60",5.5,16
Teton,112,17,129,"1,062.40",8.2,0
Twin Falls,"1,576",182,"1,758","2,023.50",17.4,35
Valley,79,6,85,746.1,1.3,1
Washington,279,19,298,"2,923.30",37.8,4
