County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,981",892,"11,873","2,465.40",9.8,139
Adams,25,1,26,605.5,3.3,1
Bannock,700,37,737,839.3,10.3,4
Bear Lake,30,1,31,506.1,,0
Benewah,124,0,124,"1,333.60",4.6,2
Bingham,559,23,582,"1,243.30",21.1,9
Blaine,590,19,609,"2,645.40",1.9,6
Boise,52,13,65,830,5.5,1
Bonner,238,7,245,535.6,6.3,0
Bonneville,"1,744",384,"2,128","1,787.30",28.2,13
Boundary,45,0,45,367.5,,1
Butte,24,0,24,924.1,22,0
Camas,3,1,4,361.7,,0
Canyon,"7,217",435,"7,652","3,329.10",13.2,89
Caribou,43,4,47,656.9,8,0
Cassia,541,53,594,"2,471.90",4.2,5
Clark,21,3,24,"2,840.20",33.8,0
Clearwater,25,2,27,308.4,4.9,0
Custer,47,7,54,"1,251.40",39.7,0
Elmore,250,57,307,"1,115.90",5.2,3
Franklin,56,6,62,446.8,2.1,0
Fremont,121,14,135,"1,030.60",16.4,3
Gem,229,26,255,"1,407.90",14.2,2
Gooding,211,36,247,"1,627.20",4.7,1
Idaho,54,0,54,324,7.7,0
Jefferson,344,57,401,"1,342.40",15.8,1
Jerome,595,82,677,"2,773.20",31,6
Kootenai,"2,314",21,"2,335","1,409.20",7.2,32
Latah,263,10,273,680.7,5,0
Lemhi,54,18,72,897,3.6,0
Lewis,12,0,12,312.7,11.2,0
Lincoln,65,17,82,"1,528.10",24,0
Madison,270,61,331,829.4,23.3,1
Minidoka,544,40,584,"2,775.80",10.2,7
Nez Perce,347,25,372,920.6,10.3,20
Oneida,19,3,22,485.5,,0
Owyhee,287,30,317,"2,681.20",7.3,5
Payette,669,89,758,"3,164.80",20.9,4
Power,144,6,150,"1,952.90",26,0
Shoshone,206,2,208,"1,614.70",4.4,17
Teton,122,17,139,"1,144.80",9.4,0
Twin Falls,"1,667",195,"1,862","2,143.20",16.9,35
Valley,80,6,86,754.9,1.3,1
Washington,295,22,317,"3,109.70",19.6,4
