County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"36,302","6,204","42,506","8,826.20",46.5,387
Adams,230,73,303,"7,056.40",53.2,3
Bannock,"4,212","2,846","7,058","8,038.00",44.9,78
Bear Lake,226,86,312,"5,093.90",30.3,2
Benewah,396,114,510,"5,485.10",38.4,6
Bingham,"2,406","1,525","3,931","8,397.60",25.9,55
Blaine,"1,572",153,"1,725","7,493.20",64.5,14
Boise,205,66,271,"3,460.60",34.7,2
Bonner,"1,957",433,"2,390","5,225.30",58.1,22
Bonneville,"8,171","2,939","11,110","9,331.30",38.8,124
Boundary,318,362,680,"5,553.30",70,10
Butte,144,36,180,"6,931.10",33,1
Camas,42,15,57,"5,153.70",0,0
Canyon,"19,428","3,321","22,749","9,897.40",57.9,239
Caribou,287,299,586,"8,190.10",55.9,10
Cassia,"2,350",350,"2,700","11,236.00",26.8,22
Clark,44,9,53,"6,272.20",0,0
Clearwater,705,216,921,"10,518.50",117.5,10
Custer,172,51,223,"5,168.00",19.9,2
Elmore,"1,115",343,"1,458","5,299.70",25.4,10
Franklin,776,206,982,"7,077.00",15.4,12
Fremont,816,103,919,"7,015.80",29.4,14
Gem,"1,218",339,"1,557","8,596.50",48.1,25
Gooding,873,334,"1,207","7,951.80",18.8,22
Idaho,833,279,"1,112","6,671.90",23.1,16
Jefferson,"1,634",562,"2,196","7,351.60",23.9,15
Jerome,"1,865",495,"2,360","9,667.40",23.4,17
Kootenai,"13,187","1,567","14,754","8,904.20",70,140
Latah,"2,255",127,"2,382","5,939.00",40.6,6
Lemhi,396,77,473,"5,892.60",7.1,9
Lewis,268,93,361,"9,405.90",29.8,6
Lincoln,352,107,459,"8,553.90",26.6,9
Madison,"4,974",684,"5,658","14,178.00",81.3,21
Minidoka,"1,836",340,"2,176","10,342.70",29.2,25
Nez Perce,"2,908",282,"3,190","7,894.50",23.3,45
Oneida,183,99,282,"6,223.80",37.8,3
Owyhee,835,116,951,"8,043.60",29,23
Payette,"1,784",447,"2,231","9,314.90",45.3,25
Power,431,136,567,"7,381.90",22.3,6
Shoshone,867,53,920,"7,141.70",31.1,30
Teton,526,353,879,"7,239.30",75.3,4
Twin Falls,"6,683","1,827","8,510","9,795.30",29.4,116
Valley,507,115,622,"5,460.00",75.2,4
Washington,803,280,"1,083","10,623.90",47.6,17
