County,Cases,Deaths,Date
Ada,351,3,4.3.20
Adams,1,0,4.3.20
Bannock,5,0,4.3.20
Bear Lake,0,0,4.3.20
Benewah,0,0,4.3.20
Bingham,2,0,4.3.20
Blaine,405,2,4.3.20
Boise,0,0,4.3.20
Bonner,2,0,4.3.20
Bonneville,5,0,4.3.20
Boundary,0,0,4.3.20
Butte,0,0,4.3.20
Camas,1,0,4.3.20
Canyon,89,1,4.3.20
Caribou,0,0,4.3.20
Cassia,4,1,4.3.20
Clark,0,0,4.3.20
Clearwater,0,0,4.3.20
Custer,2,0,4.3.20
Elmore,10,0,4.3.20
Franklin,0,0,4.3.20
Fremont,1,0,4.3.20
Gem,7,0,4.3.20
Gooding,1,0,4.3.20
Idaho,2,0,4.3.20
Jefferson,3,0,4.3.20
Jerome,11,0,4.3.20
Kootenai,37,0,4.3.20
Latah,1,0,4.3.20
Lemhi,0,0,4.3.20
Lewis,1,0,4.3.20
Lincoln,7,0,4.3.20
Madison,4,0,4.3.20
Minidoka,1,0,4.3.20
Nez Perce,13,2,4.3.20
Oneida,0,0,4.3.20
Owyhee,2,0,4.3.20
Payette,5,0,4.3.20
Power,0,0,4.3.20
Shoshone,0,0,4.3.20
Teton,3,0,4.3.20
Twin Falls,33,1,4.3.20
Valley,3,0,4.3.20
Washington,1,0,4.3.20
