County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,"1,636",116,"1,752",372.8,23,6/26/20
Adams,9,1,10,235.3,,6/26/20
Bannock,83,12,95,109,1,6/26/20
Bear Lake,,,0,,,6/26/20
Benewah,21,,21,227.6,,6/26/20
Bingham,31,2,33,71.4,,6/26/20
Blaine,518,11,529,"2,340.60",5,6/26/20
Boise,1,,1,13.1,,6/26/20
Bonner,24,,24,53.7,,6/26/20
Bonneville,71,36,107,91.6,1,6/26/20
Boundary,1,,1,8.4,,6/26/20
Butte,,,0,,,6/26/20
Camas,1,,1,88.7,,6/26/20
Canyon,584,68,652,291.7,6,6/26/20
Caribou,8,1,9,127.5,,6/26/20
Cassia,174,26,200,838.1,1,6/26/20
Clark,,,0,,,6/26/20
Clearwater,1,,1,11.4,,6/26/20
Custer,3,,3,70.1,,6/26/20
Elmore,49,1,50,183.4,2,6/26/20
Franklin,21,2,23,,,6/26/20
Fremont,4,1,5,38,,6/26/20
Gem,16,5,21,119.1,,6/26/20
Gooding,52,10,62,408,1,6/26/20
Idaho,3,,3,18.2,,6/26/20
Jefferson,12,5,17,57.7,,6/26/20
Jerome,199,33,232,966.1,3,6/26/20
Kootenai,175,1,176,109,1,6/26/20
Latah,10,1,11,27.4,,6/26/20
Lemhi,2,,2,25.1,,6/26/20
Lewis,,,0,,,6/26/20
Lincoln,32,4,36,671.6,,6/26/20
Madison,21,10,31,78.9,,6/26/20
Minidoka,127,21,148,710.7,,6/26/20
Nez Perce,81,12,93,230.2,19,6/26/20
Oneida,,,0,,,6/26/20
Owyhee,22,12,34,290.8,,6/26/20
Payette,55,22,77,327,2,6/26/20
Power,14,2,16,206,,6/26/20
Shoshone,,,0,,,6/26/20
Teton,14,2,16,137.5,,6/26/20
Twin Falls,455,91,546,634.3,25,6/26/20
Valley,11,,11,99.6,,6/26/20
Washington,88,10,98,964.5,,6/26/20
