County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"14,328","1,851","16,179","3,359.50",32.3,164
Adams,46,2,48,"1,117.80",53.2,2
Bannock,"1,642",648,"2,290","2,608.00",60.5,10
Bear Lake,64,3,67,"1,093.90",11.7,1
Benewah,167,3,170,"1,828.40",7.7,3
Bingham,"1,218",321,"1,539","3,287.70",47.3,17
Blaine,818,41,859,"3,731.40",32.3,7
Boise,60,15,75,957.7,,2
Bonner,422,48,470,"1,027.60",11.9,1
Bonneville,"3,416",833,"4,249","3,568.70",59,28
Boundary,66,66,132,"1,078.00",43.2,1
Butte,79,14,93,"3,581.10",77,0
Camas,34,7,41,"3,707.10",38.8,0
Canyon,"9,060",676,"9,736","4,235.80",37.2,108
Caribou,184,72,256,"3,577.90",91.8,4
Cassia,"1,211",113,"1,324","5,509.80",114.7,8
Clark,33,7,40,"4,733.70",16.9,0
Clearwater,114,18,132,"1,507.50",16.3,0
Custer,83,10,93,"2,155.30",3.3,1
Elmore,370,141,511,"1,857.40",29.1,4
Franklin,272,65,337,"2,428.70",55.6,1
Fremont,431,31,462,"3,527.00",116.7,4
Gem,358,57,415,"2,291.30",21.3,6
Gooding,427,101,528,"3,478.50",82.8,7
Idaho,321,15,336,"2,016.00",36.9,1
Jefferson,762,157,919,"3,076.60",41.6,3
Jerome,905,138,"1,043","4,272.50",47.4,8
Kootenai,"3,710",211,"3,921","2,366.40",46.7,48
Latah,858,29,887,"2,211.50",22.1,0
Lemhi,178,26,204,"2,541.40",57,0
Lewis,72,4,76,"1,980.20",22.3,3
Lincoln,137,26,163,"3,037.60",85.2,1
Madison,"2,108",293,"2,401","6,016.50",168.3,3
Minidoka,"1,050",98,"1,148","5,456.50",65.2,8
Nez Perce,708,49,757,"1,873.40",45.6,24
Oneida,40,5,45,993.2,31.5,0
Owyhee,352,35,387,"3,273.30",26.6,5
Payette,966,146,"1,112","4,642.80",26.2,10
Power,308,48,356,"4,634.80",33.5,2
Shoshone,255,4,259,"2,010.60",33.3,20
Teton,249,25,274,"2,256.60",24.7,2
Twin Falls,"3,347",457,"3,804","4,378.60",83.2,46
Valley,106,9,115,"1,009.50",10,1
Washington,401,40,441,"4,326.10",29.4,8
