County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,821",801,"11,622","2,413.30",13.5,130
Adams,24,1,25,582.2,,1
Bannock,637,34,671,764.2,6.2,4
Bear Lake,30,1,31,506.1,2.3,0
Benewah,121,0,121,"1,301.40",15.4,2
Bingham,481,18,499,"1,066.00",9.5,7
Blaine,588,18,606,"2,632.40",1.2,6
Boise,50,12,62,791.7,1.8,1
Bonner,221,8,229,500.7,5,0
Bonneville,"1,614",353,"1,967","1,652.10",26.9,11
Boundary,45,0,45,367.5,2.3,1
Butte,20,0,20,770.1,49.5,0
Camas,3,1,4,361.7,,0
Canyon,"7,063",408,"7,471","3,250.40",15.7,85
Caribou,40,3,43,601,2,0
Cassia,536,52,588,"2,446.90",4.2,4
Clark,19,3,22,"2,603.60",16.9,0
Clearwater,21,1,22,251.3,1.6,0
Custer,37,6,43,996.5,39.7,0
Elmore,244,56,300,"1,090.50",10.9,3
Franklin,54,6,60,432.4,3.1,0
Fremont,111,13,124,946.6,12,2
Gem,216,22,238,"1,314.00",22.1,2
Gooding,207,35,242,"1,594.30",13.2,1
Idaho,44,0,44,264,3.4,0
Jefferson,325,48,373,"1,248.70",13.4,1
Jerome,563,69,632,"2,588.90",20.5,6
Kootenai,"2,251",20,"2,271","1,370.60",8.5,30
Latah,247,10,257,640.8,7.5,0
Lemhi,52,18,70,872.1,,0
Lewis,9,0,9,234.5,,0
Lincoln,61,13,74,"1,379.10",18.6,0
Madison,229,50,279,699.1,15.8,0
Minidoka,533,37,570,"2,709.30",13.6,4
Nez Perce,299,25,324,801.8,9.6,19
Oneida,19,3,22,485.5,3.2,0
Owyhee,284,29,313,"2,647.40",12.1,5
Payette,643,83,726,"3,031.20",31.6,4
Power,133,2,135,"1,757.60",33.5,0
Shoshone,202,2,204,"1,583.60",8.9,16
Teton,119,17,136,"1,120.10",14.1,0
Twin Falls,"1,601",182,"1,783","2,052.30",18.4,35
Valley,79,6,85,746.1,1.3,1
Washington,284,20,304,"2,982.10",37.8,4
