County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,868",820,"11,688","2,427.00",10.8,131
Adams,24,1,25,582.2,,1
Bannock,643,34,677,771,4.9,4
Bear Lake,30,1,31,506.1,2.3,0
Benewah,122,0,122,"1,312.10",9.2,2
Bingham,491,18,509,"1,087.40",11.9,8
Blaine,589,18,607,"2,636.70",1.9,6
Boise,50,12,62,791.7,,1
Bonner,223,8,231,505,5,0
Bonneville,"1,633",363,"1,996","1,676.40",22.8,12
Boundary,45,0,45,367.5,1.2,1
Butte,21,0,21,808.6,49.5,0
Camas,3,1,4,361.7,,0
Canyon,"7,108",418,"7,526","3,274.30",15.3,85
Caribou,41,4,45,628.9,6,0
Cassia,537,53,590,"2,455.30",4.2,4
Clark,19,3,22,"2,603.60",,0
Clearwater,25,1,26,296.9,8.2,0
Custer,37,6,43,996.5,16.6,0
Elmore,246,56,302,"1,097.70",5.7,3
Franklin,55,6,61,439.6,3.1,0
Fremont,112,13,125,954.3,9.8,2
Gem,219,23,242,"1,336.10",24.5,2
Gooding,209,35,244,"1,607.50",8.5,1
Idaho,50,0,50,300,5.1,0
Jefferson,327,50,377,"1,262.10",8.1,1
Jerome,576,71,647,"2,650.30",23.4,6
Kootenai,"2,266",20,"2,286","1,379.60",7,31
Latah,256,10,266,663.2,7.1,0
Lemhi,53,18,71,884.5,1.8,0
Lewis,9,0,9,234.5,,0
Lincoln,60,13,73,"1,360.40",13.3,0
Madison,235,51,286,716.7,11.8,0
Minidoka,535,37,572,"2,718.80",6.8,4
Nez Perce,323,25,348,861.2,13.8,19
Oneida,19,3,22,485.5,3.2,0
Owyhee,283,29,312,"2,638.90",7.3,5
Payette,656,87,743,"3,102.20",20.9,4
Power,136,2,138,"1,796.60",31.6,0
Shoshone,203,2,205,"1,591.40",8.9,16
Teton,118,17,135,"1,111.80",11.8,0
Twin Falls,"1,622",183,"1,805","2,077.60",18.6,35
Valley,80,6,86,754.9,2.5,1
Washington,285,20,305,"2,992.00",23.8,4
