County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,394","1,023","12,417","2,578.40",12.3,145
Adams,27,1,28,652.1,6.7,1
Bannock,851,49,900,"1,025.00",12,4
Bear Lake,34,1,35,571.4,7,1
Benewah,137,0,137,"1,473.40",15.4,3
Bingham,725,41,766,"1,636.40",34.2,10
Blaine,610,28,638,"2,771.40",14.9,6
Boise,52,14,66,842.8,1.8,1
Bonner,279,14,293,640.6,9.4,0
Bonneville,"2,029",435,"2,464","2,069.50",29,15
Boundary,47,9,56,457.3,11.7,1
Butte,27,0,27,"1,039.70",5.5,0
Camas,17,4,21,"1,898.70",180.8,0
Canyon,"7,456",473,"7,929","3,449.70",13.2,99
Caribou,80,16,96,"1,341.70",55.9,0
Cassia,581,58,639,"2,659.20",22,5
Clark,26,5,31,"3,668.60",101.4,0
Clearwater,32,2,34,388.3,13.1,0
Custer,50,7,57,"1,321.00",6.6,1
Elmore,256,65,321,"1,166.80",4.2,3
Franklin,73,12,85,612.6,15.4,0
Fremont,146,15,161,"1,229.10",28.4,3
Gem,250,26,276,"1,523.90",9.5,2
Gooding,224,39,263,"1,732.70",8.5,1
Idaho,176,3,179,"1,074.00",88.3,0
Jefferson,410,79,489,"1,637.00",30.6,1
Jerome,640,88,728,"2,982.10",22.8,7
Kootenai,"2,479",25,"2,504","1,511.20",12.2,35
Latah,311,13,324,807.8,12.8,0
Lemhi,58,18,76,946.8,7.1,0
Lewis,12,0,12,312.7,,0
Lincoln,68,19,87,"1,621.30",10.7,0
Madison,409,101,510,"1,278.00",59.8,1
Minidoka,583,45,628,"2,984.90",26.5,7
Nez Perce,373,29,402,994.9,7.4,24
Oneida,20,3,23,507.6,3.2,0
Owyhee,293,30,323,"2,732.00",2.4,5
Payette,719,95,814,"3,398.60",23.3,6
Power,195,12,207,"2,695.00",72.5,1
Shoshone,211,2,213,"1,653.50",2.2,18
Teton,128,16,144,"1,186.00",5.9,0
Twin Falls,"1,856",216,"2,072","2,385.00",25.2,35
Valley,81,6,87,763.7,1.3,1
Washington,314,22,336,"3,296.10",22.4,5
