County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,706","1,402","14,108","2,929.50",17.8,153
Adams,27,2,29,675.4,6.7,2
Bannock,"1,195",246,"1,441","1,641.10",30.4,8
Bear Lake,49,2,51,832.7,7,1
Benewah,160,3,163,"1,753.10",18.4,3
Bingham,983,163,"1,146","2,448.10",28.1,10
Blaine,695,36,731,"3,175.40",23.6,6
Boise,58,15,73,932.2,0,2
Bonner,358,34,392,857,11.2,0
Bonneville,"2,628",650,"3,278","2,753.20",41.8,21
Boundary,51,17,68,555.3,10.5,1
Butte,47,3,50,"1,925.30",27.5,0
Camas,31,7,38,"3,435.80",12.9,0
Canyon,"8,142",565,"8,707","3,788.10",21,103
Caribou,113,33,146,"2,040.50",20,2
Cassia,826,90,916,"3,811.90",71.9,8
Clark,33,5,38,"4,497.00",33.8,0
Clearwater,82,12,94,"1,073.50",50.6,0
Custer,68,9,77,"1,784.50",16.6,1
Elmore,310,93,403,"1,464.90",11.9,4
Franklin,172,26,198,"1,426.90",47.4,1
Fremont,256,28,284,"2,168.10",22.9,3
Gem,309,43,352,"1,943.50",4.7,4
Gooding,302,64,366,"2,411.20",39.5,2
Idaho,232,12,244,"1,464.00",18,0
Jefferson,584,131,715,"2,393.60",37.3,3
Jerome,762,110,872,"3,572.00",43.3,7
Kootenai,"2,948",56,"3,004","1,812.90",19.1,44
Latah,675,21,696,"1,735.30",32.4,0
Lemhi,105,25,130,"1,619.50",33.8,0
Lewis,50,1,51,"1,328.80",48.4,2
Lincoln,83,20,103,"1,919.50",24,0
Madison,"1,083",218,"1,301","3,260.10",123.5,2
Minidoka,787,81,868,"4,125.70",80.8,8
Nez Perce,488,37,525,"1,299.20",18,24
Oneida,26,3,29,640,3.2,0
Owyhee,320,33,353,"2,985.70",16.9,5
Payette,860,133,993,"4,146.00",34,9
Power,268,33,301,"3,918.80",27.9,1
Shoshone,218,2,220,"1,707.80",4.4,18
Teton,197,24,221,"1,820.10",29.4,1
Twin Falls,"2,516",297,"2,813","3,237.90",58.4,40
Valley,95,8,103,904.1,6.3,1
Washington,362,35,397,"3,894.40",16.8,6
