County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,950","1,166","13,116","2,723.50",14.1,148
Adams,28,1,29,675.4,3.3,2
Bannock,987,98,"1,085","1,235.70",21,5
Bear Lake,44,2,46,751,14,1
Benewah,148,3,151,"1,624.00",16.9,3
Bingham,881,79,960,"2,050.80",32.7,10
Blaine,651,32,683,"2,966.90",26.7,6
Boise,55,15,70,893.9,5.5,2
Bonner,317,23,340,743.3,9.1,0
Bonneville,"2,313",528,"2,841","2,386.20",33.5,17
Boundary,48,10,58,473.7,1.2,1
Butte,31,2,33,"1,270.70",33,0
Camas,30,6,36,"3,255.00",155,0
Canyon,"7,769",527,"8,296","3,609.30",15.4,102
Caribou,97,28,125,"1,747.00",41.9,0
Cassia,680,77,757,"3,150.20",60.6,6
Clark,30,5,35,"4,142.00",50.7,0
Clearwater,47,5,52,593.9,21.2,0
Custer,63,8,71,"1,645.40",36.4,1
Elmore,281,80,361,"1,312.20",11.9,3
Franklin,112,17,129,929.7,19.6,0
Fremont,193,25,218,"1,664.20",49.1,3
Gem,298,42,340,"1,877.20",33.1,3
Gooding,254,50,304,"2,002.80",29.2,1
Idaho,198,12,210,"1,260.00",19.7,0
Jefferson,507,100,607,"2,032.10",43.5,2
Jerome,687,96,783,"3,207.40",26.3,7
Kootenai,"2,714",29,"2,743","1,655.40",17.3,34
Latah,521,17,538,"1,341.40",62,0
Lemhi,82,25,107,"1,333.00",40.9,0
Lewis,35,0,35,911.9,78.2,0
Lincoln,74,20,94,"1,751.80",16,0
Madison,704,143,847,"2,122.40",94.2,2
Minidoka,655,70,725,"3,446.00",52.3,8
Nez Perce,427,34,461,"1,140.90",13.1,24
Oneida,23,3,26,573.8,9.5,0
Owyhee,302,31,333,"2,816.50",8.5,5
Payette,790,120,910,"3,799.40",32.2,9
Power,231,19,250,"3,254.80",42.8,1
Shoshone,214,2,216,"1,676.80",1.1,18
Teton,163,22,185,"1,523.60",41.2,0
Twin Falls,"2,121",255,"2,376","2,734.90",43.7,38
Valley,89,8,97,851.5,11.3,1
Washington,341,27,368,"3,610.00",21,6
