County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,140","1,203","13,343","2,770.60",15,148
Adams,28,1,29,675.4,3.3,2
Bannock,"1,062",156,"1,218","1,387.10",38.2,5
Bear Lake,46,2,48,783.7,14,1
Benewah,149,3,152,"1,634.80",12.3,3
Bingham,925,107,"1,032","2,204.60",38.8,10
Blaine,658,33,691,"3,001.60",23.6,6
Boise,57,15,72,919.4,5.5,2
Bonner,327,30,357,780.5,11.9,0
Bonneville,"2,366",551,"2,917","2,450.00",30.1,17
Boundary,49,10,59,481.8,2.3,1
Butte,39,2,41,"1,578.70",66,0
Camas,30,7,37,"3,345.40",129.2,0
Canyon,"7,841",531,"8,372","3,642.40",14.7,102
Caribou,104,31,135,"1,886.80",51.9,1
Cassia,710,84,794,"3,304.20",48.8,6
Clark,31,5,36,"4,260.40",67.6,0
Clearwater,58,5,63,719.5,29.4,0
Custer,63,8,71,"1,645.40",23.2,1
Elmore,291,83,374,"1,359.50",16.6,3
Franklin,124,20,144,"1,037.80",26.8,0
Fremont,237,26,263,"2,007.80",82.9,3
Gem,303,43,346,"1,910.30",17.4,3
Gooding,269,55,324,"2,134.50",41.4,1
Idaho,208,12,220,"1,320.00",18.9,0
Jefferson,523,105,628,"2,102.40",37.3,3
Jerome,700,98,798,"3,268.90",25.2,7
Kootenai,"2,757",33,"2,790","1,683.80",13.5,35
Latah,552,18,570,"1,421.20",52.4,0
Lemhi,87,26,113,"1,407.70",44.5,0
Lewis,36,0,36,938,78.2,1
Lincoln,74,20,94,"1,751.80",13.3,0
Madison,767,166,933,"2,337.90",89.9,2
Minidoka,679,69,748,"3,555.30",46.2,8
Nez Perce,434,35,469,"1,160.70",10.6,24
Oneida,25,3,28,618,9.5,0
Owyhee,304,31,335,"2,833.50",9.7,5
Payette,811,122,933,"3,895.50",37.6,9
Power,251,28,279,"3,632.30",80,1
Shoshone,215,2,217,"1,684.50",1.1,18
Teton,172,23,195,"1,606.00",34.1,1
Twin Falls,"2,193",260,"2,453","2,823.50",41.8,38
Valley,89,8,97,851.5,7.5,1
Washington,352,31,383,"3,757.10",29.4,6
