County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"29,593","4,333","33,926","7,044.60",29.4,311
Adams,137,36,173,"4,028.90",116.4,3
Bannock,"3,568","2,354","5,922","6,744.30",60,51
Bear Lake,180,59,239,"3,902.00",21,2
Benewah,322,52,374,"4,022.40",64.5,4
Bingham,"2,179","1,254","3,433","7,333.70",55.2,38
Blaine,"1,413",116,"1,529","6,641.80",34.8,10
Boise,171,54,225,"2,873.20",25.5,2
Bonner,"1,376",216,"1,592","3,480.60",64.3,12
Bonneville,"7,238","2,307","9,545","8,016.80",60.7,101
Boundary,225,254,479,"3,911.80",56,6
Butte,120,27,147,"5,660.40",16.5,0
Camas,42,14,56,"5,063.30",0,0
Canyon,"16,868","2,337","19,205","8,355.50",72.2,197
Caribou,246,237,483,"6,750.50",22,11
Cassia,"2,181",262,"2,443","10,166.50",49.3,19
Clark,44,9,53,"6,272.20",16.9,0
Clearwater,597,182,779,"8,896.80",68.5,5
Custer,154,36,190,"4,403.20",33.1,2
Elmore,909,280,"1,189","4,321.90",19.7,9
Franklin,672,196,868,"6,255.40",54.6,8
Fremont,752,80,832,"6,351.60",20.7,12
Gem,"1,030",297,"1,327","7,326.60",67.8,17
Gooding,817,288,"1,105","7,279.80",27.3,16
Idaho,758,165,923,"5,537.90",36.9,15
Jefferson,"1,466",430,"1,896","6,347.30",33,14
Jerome,"1,730",408,"2,138","8,758.00",32.8,15
Kootenai,"10,036","1,109","11,145","6,726.10",98.5,102
Latah,"1,939",113,"2,052","5,116.20",33.1,3
Lemhi,384,61,445,"5,543.80",12.5,9
Lewis,241,76,317,"8,259.50",85.6,5
Lincoln,333,91,424,"7,901.60",63.9,8
Madison,"4,473",501,"4,974","12,464.00",45.8,10
Minidoka,"1,704",244,"1,948","9,259.00",46.9,22
Nez Perce,"2,633",216,"2,849","7,050.60",63.3,41
Oneida,155,78,233,"5,142.40",44.1,1
Owyhee,749,91,840,"7,104.80",55.6,18
Payette,"1,606",322,"1,928","8,049.80",52.5,22
Power,413,111,524,"6,822.00",27.9,4
Shoshone,709,38,747,"5,798.80",102,23
Teton,457,187,644,"5,303.90",25.9,2
Twin Falls,"6,157","1,481","7,638","8,791.60",39.6,109
Valley,293,76,369,"3,239.10",41.4,2
Washington,719,202,921,"9,034.70",88.3,14
