County,Cases,Deaths,Date
Ada,419,3,4.6.20
Adams,1,0,4.6.20
Bannock,5,0,4.6.20
Bear Lake,0,0,4.6.20
Benewah,0,0,4.6.20
Bingham,2,0,4.6.20
Blaine,423,2,4.6.20
Boise,0,0,4.6.20
Bonner,3,0,4.6.20
Bonneville,6,0,4.6.20
Boundary,0,0,4.6.20
Butte,0,0,4.6.20
Camas,1,0,4.6.20
Canyon,104,3,4.6.20
Caribou,1,0,4.6.20
Cassia,5,1,4.6.20
Clark,0,0,4.6.20
Clearwater,0,0,4.6.20
Custer,2,0,4.6.20
Elmore,12,0,4.6.20
Franklin,0,0,4.6.20
Fremont,2,0,4.6.20
Gem,8,0,4.6.20
Gooding,3,0,4.6.20
Idaho,3,0,4.6.20
Jefferson,4,0,4.6.20
Jerome,18,0,4.6.20
Kootenai,43,0,4.6.20
Latah,2,0,4.6.20
Lemhi,0,0,4.6.20
Lewis,0,0,4.6.20
Lincoln,12,0,4.6.20
Madison,4,0,4.6.20
Minidoka,3,0,4.6.20
Nez Perce,15,2,4.6.20
Oneida,0,0,4.6.20
Owyhee,2,0,4.6.20
Payette,6,1,4.6.20
Power,0,0,4.6.20
Shoshone,0,0,4.6.20
Teton,5,0,4.6.20
Twin Falls,53,1,4.6.20
Valley,2,0,4.6.20
Washington,1,0,4.6.20
