County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,326","1,257","13,583","2,820.50",19.1,151
Adams,27,1,28,652.1,,2
Bannock,"1,094",175,"1,269","1,445.20",37.7,5
Bear Lake,46,2,48,783.7,14,1
Benewah,149,3,152,"1,634.80",10.8,3
Bingham,945,119,"1,064","2,273.00",41.2,10
Blaine,665,34,699,"3,036.40",16.8,6
Boise,58,15,73,932.2,5.5,2
Bonner,332,31,363,793.6,13.4,0
Bonneville,"2,417",576,"2,993","2,513.80",31.9,17
Boundary,49,10,59,481.8,2.3,1
Butte,41,2,43,"1,655.80",71.5,0
Camas,30,7,37,"3,345.40",64.6,0
Canyon,"7,863",533,"8,396","3,652.80",13.1,103
Caribou,105,31,136,"1,900.80",35.9,1
Cassia,725,81,806,"3,354.10",45.8,6
Clark,32,5,37,"4,378.70",67.6,0
Clearwater,58,5,63,719.5,29.4,0
Custer,64,8,72,"1,668.60",19.9,1
Elmore,295,87,382,"1,388.50",19.7,4
Franklin,137,20,157,"1,131.40",31.9,0
Fremont,239,27,266,"2,030.70",78.5,3
Gem,304,43,347,"1,915.90",12.6,4
Gooding,273,54,327,"2,154.30",39.5,1
Idaho,208,12,220,"1,320.00",16.3,0
Jefferson,535,120,655,"2,192.80",42.1,3
Jerome,711,99,810,"3,318.00",26.9,7
Kootenai,"2,778",34,"2,812","1,697.10",13.5,37
Latah,556,18,574,"1,431.10",34.6,0
Lemhi,88,26,114,"1,420.20",33.8,0
Lewis,36,0,36,938,7.4,1
Lincoln,76,20,96,"1,789.00",13.3,0
Madison,864,173,"1,037","2,598.50",103.5,2
Minidoka,694,70,764,"3,631.40",50.3,8
Nez Perce,434,35,469,"1,160.70",10.6,24
Oneida,25,3,28,618,3.2,0
Owyhee,304,31,335,"2,833.50",7.3,5
Payette,817,121,938,"3,916.30",37.6,9
Power,255,28,283,"3,684.40",72.5,1
Shoshone,215,2,217,"1,684.50",1.1,18
Teton,176,23,199,"1,638.90",31.8,1
Twin Falls,"2,231",262,"2,493","2,869.50",39.6,38
Valley,90,8,98,860.3,6.3,1
Washington,355,31,386,"3,786.50",32.2,6
