County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"33,559","5,122","38,681","8,032.00",35.1,358
Adams,205,62,267,"6,218.00",136.4,3
Bannock,"3,905","2,584","6,489","7,390.00",50.9,65
Bear Lake,210,66,276,"4,506.10",58.3,2
Benewah,349,89,438,"4,710.70",50.7,4
Bingham,"2,289","1,388","3,677","7,855.00",36,47
Blaine,"1,451",118,"1,569","6,815.50",18,13
Boise,189,53,242,"3,090.30",7.3,2
Bonner,"1,669",341,"2,010","4,394.50",55,13
Bonneville,"7,764","2,711","10,475","8,797.90",46.6,117
Boundary,270,299,569,"4,646.80",54.8,7
Butte,136,28,164,"6,315.00",33,1
Camas,42,15,57,"5,153.70",12.9,0
Canyon,"18,119","2,730","20,849","9,070.70",53.3,221
Caribou,265,275,540,"7,547.20",65.9,10
Cassia,"2,269",299,"2,568","10,686.60",48.2,20
Clark,44,9,53,"6,272.20",0,0
Clearwater,625,200,825,"9,422.10",42.4,6
Custer,163,41,204,"4,727.70",26.5,2
Elmore,"1,039",320,"1,359","4,939.80",19.2,9
Franklin,727,200,927,"6,680.60",27.8,8
Fremont,784,93,877,"6,695.20",25.1,14
Gem,"1,123",313,"1,436","7,928.40",48.1,22
Gooding,848,304,"1,152","7,589.40",20.7,18
Idaho,794,230,"1,024","6,143.90",39.4,15
Jefferson,"1,575",508,"2,083","6,973.30",29.7,15
Jerome,"1,795",441,"2,236","9,159.40",37.5,16
Kootenai,"11,523","1,329","12,852","7,756.30",77.2,116
Latah,"2,034",120,"2,154","5,370.50",13.2,6
Lemhi,391,74,465,"5,792.90",21.4,9
Lewis,252,90,342,"8,910.90",26.1,5
Lincoln,342,94,436,"8,125.20",13.3,9
Madison,"4,675",602,"5,277","13,223.20",41.9,18
Minidoka,"1,774",297,"2,071","9,843.60",37.3,23
Nez Perce,"2,792",235,"3,027","7,491.10",28.3,44
Oneida,164,87,251,"5,539.60",18.9,2
Owyhee,796,100,896,"7,578.40",35,20
Payette,"1,708",374,"2,082","8,692.70",47.1,24
Power,422,125,547,"7,121.50",16.7,5
Shoshone,804,47,851,"6,606.10",53.2,26
Teton,486,250,736,"6,061.60",56.5,2
Twin Falls,"6,360","1,618","7,978","9,183.00",32.2,113
Valley,401,90,491,"4,310.00",52.7,3
Washington,765,238,"1,003","9,839.10",53.3,15
