County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"15,318","2,133","17,451","3,623.60",31.3,181
Adams,58,7,65,"1,513.70",43.3,2
Bannock,"1,891",841,"2,732","3,111.30",61.2,14
Bear Lake,71,6,77,"1,257.10",18.7,1
Benewah,185,3,188,"2,021.90",27.7,3
Bingham,"1,274",390,"1,664","3,554.70",31.4,23
Blaine,870,46,916,"3,979.00",34.1,7
Boise,69,18,87,"1,111.00",20.1,2
Bonner,472,55,527,"1,152.20",15.9,1
Bonneville,"3,717","1,047","4,764","4,001.30",51.5,38
Boundary,89,114,203,"1,657.80",72.3,1
Butte,87,17,104,"4,004.60",49.5,0
Camas,35,6,41,"3,707.10",0,0
Canyon,"9,625",792,"10,417","4,532.10",39.6,111
Caribou,201,105,306,"4,276.70",81.9,4
Cassia,"1,346",123,"1,469","6,113.20",75.5,9
Clark,33,7,40,"4,733.70",0,0
Clearwater,131,18,149,"1,701.70",19.6,0
Custer,88,10,98,"2,271.10",13.2,1
Elmore,417,164,581,"2,111.90",32.7,4
Franklin,312,72,384,"2,767.40",38.1,2
Fremont,471,33,504,"3,847.60",42.5,4
Gem,388,64,452,"2,495.60",24.5,6
Gooding,506,130,636,"4,190.00",91.3,9
Idaho,359,21,380,"2,280.00",18.9,1
Jefferson,830,195,"1,025","3,431.40",41.6,4
Jerome,"1,037",161,"1,198","4,907.40",78.4,9
Kootenai,"4,235",274,"4,509","2,721.20",46.2,51
Latah,948,34,982,"2,448.40",18.9,1
Lemhi,258,32,290,"3,612.80",151.3,1
Lewis,80,5,85,"2,214.70",22.3,3
Lincoln,207,33,240,"4,472.60",143.8,3
Madison,"2,425",326,"2,751","6,893.50",86.3,4
Minidoka,"1,153",107,"1,260","5,988.90",62.5,9
Nez Perce,865,59,924,"2,286.70",39.6,24
Oneida,52,12,64,"1,412.50",56.8,0
Owyhee,370,36,406,"3,434.00",21.8,5
Payette,"1,020",154,"1,174","4,901.70",37.6,10
Power,320,56,376,"4,895.20",33.5,2
Shoshone,283,5,288,"2,235.70",28.8,20
Teton,280,25,305,"2,511.90",29.4,2
Twin Falls,"3,830",533,"4,363","5,022.00",81.2,49
Valley,118,11,129,"1,132.40",17.6,1
Washington,432,52,484,"4,747.90",57.5,8
