County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"13,112","1,492","14,604","3,032.50",22.1,156
Adams,27,3,30,698.6,3.3,2
Bannock,"1,207",272,"1,479","1,684.40",18.1,8
Bear Lake,51,2,53,865.3,4.7,1
Benewah,159,3,162,"1,742.30",4.6,3
Bingham,987,171,"1,158","2,473.80",15,10
Blaine,733,42,775,"3,366.50",41.6,6
Boise,59,15,74,945,1.8,2
Bonner,366,38,404,883.3,10,0
Bonneville,"2,841",685,"3,526","2,961.50",50.6,21
Boundary,51,20,71,579.8,9.3,1
Butte,48,3,51,"1,963.80",11,0
Camas,31,7,38,"3,435.80",,0
Canyon,"8,297",575,"8,872","3,859.90",23.3,104
Caribou,113,43,156,"2,180.30",20,2
Cassia,893,91,984,"4,094.90",70.7,8
Clark,33,6,39,"4,615.40",16.9,0
Clearwater,95,13,108,"1,233.40",44.1,0
Custer,70,9,79,"1,830.80",16.6,1
Elmore,320,100,420,"1,526.70",12.5,4
Franklin,171,32,203,"1,463.00",27.8,1
Fremont,279,28,307,"2,343.70",36,3
Gem,316,47,363,"2,004.20",11,4
Gooding,326,65,391,"2,575.90",39.5,2
Idaho,248,12,260,"1,560.00",21.4,0
Jefferson,636,134,770,"2,577.80",44,3
Jerome,786,112,898,"3,678.50",34.5,7
Kootenai,"3,042",63,"3,105","1,873.90",19.1,44
Latah,727,21,748,"1,865.00",32.4,0
Lemhi,118,25,143,"1,781.50",39.2,0
Lewis,52,1,53,"1,380.90",40.9,2
Lincoln,96,21,117,"2,180.40",50.6,0
Madison,"1,455",230,"1,685","4,222.30",180.8,2
Minidoka,830,82,912,"4,334.80",72,8
Nez Perce,517,37,554,"1,371.00",19.8,24
Oneida,26,3,29,640,,0
Owyhee,325,33,358,"3,028.00",15.7,5
Payette,886,135,"1,021","4,262.90",33.4,9
Power,270,38,308,"4,009.90",20.5,1
Shoshone,218,2,220,"1,707.80",4.4,18
Teton,212,24,236,"1,943.70",30.6,1
Twin Falls,"2,660",310,"2,970","3,418.60",59.2,41
Valley,97,8,105,921.7,2.5,1
Washington,374,34,408,"4,002.40",25.2,7
