County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"1,472",113,"1,585",337.3,23
Adams,9,1,10,235.3,
Bannock,81,7,88,101,1
Bear Lake,,,0,,
Benewah,21,,21,227.6,
Bingham,31,2,33,71.4,
Blaine,517,11,528,"2,336.20",5
Boise,1,,1,13.1,
Bonner,24,,24,53.7,
Bonneville,70,36,106,90.7,1
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,542,59,601,268.9,6
Caribou,8,1,9,127.5,
Cassia,166,27,193,808.7,1
Clark,,,0,,
Clearwater,,,0,,
Custer,3,,3,70.1,
Elmore,46,1,47,172.4,2
Franklin,19,2,21,,
Fremont,3,1,4,30.4,
Gem,16,4,20,113.4,
Gooding,52,10,62,408,1
Idaho,3,,3,18.2,
Jefferson,11,5,16,54.3,
Jerome,198,33,231,961.9,3
Kootenai,170,1,171,105.9,1
Latah,9,1,10,24.9,
Lemhi,2,,2,25.1,
Lewis,,,0,,
Lincoln,32,4,36,671.6,
Madison,21,10,31,78.9,
Minidoka,118,20,138,662.7,
Nez Perce,79,12,91,225.2,19
Oneida,,,0,,
Owyhee,21,12,33,282.2,
Payette,52,21,73,310,2
Power,14,2,16,206,
Shoshone,,,0,,
Teton,13,1,14,120.3,
Twin Falls,449,91,540,627.3,25
Valley,5,,5,45.3,
Washington,87,10,97,954.6,
