County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"4,581",255,"4,836","1,029.00",28
Adams,11,1,12,282.4,
Bannock,148,15,163,187.1,1
Bear Lake,2,,2,33.1,
Benewah,29,,29,314.3,
Bingham,93,2,95,205.5,1
Blaine,541,13,554,"2,451.20",5
Boise,12,,12,157.2,
Bonner,73,5,78,174.4,
Bonneville,171,63,234,200.2,1
Boundary,8,,8,67,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,"2,457",98,"2,555","1,143.20",15
Caribou,18,1,19,269.1,
Cassia,303,38,341,"1,428.90",1
Clark,,,0,,
Clearwater,5,2,7,79.9,
Custer,6,,6,140.2,
Elmore,106,2,108,396.2,2
Franklin,31,2,33,,
Fremont,14,1,15,113.9,
Gem,68,7,75,425.3,
Gooding,79,13,92,605.4,1
Idaho,13,,13,78.7,
Jefferson,26,10,36,122.3,
Jerome,285,41,326,"1,357.50",6
Kootenai,785,8,793,491,1
Latah,32,6,38,94.7,
Lemhi,4,,4,50.2,
Lewis,,,0,0,
Lincoln,37,6,43,802.2,
Madison,61,20,81,206.1,
Minidoka,257,29,286,"1,373.30",
Nez Perce,103,13,116,287.1,19
Oneida,7,,7,156,
Owyhee,95,12,107,915.1,
Payette,190,22,212,900.2,2
Power,18,2,20,257.5,
Shoshone,13,,13,101.6,
Teton,35,3,38,326.5,
Twin Falls,765,109,874,"1,015.30",25
Valley,28,,28,253.6,
Washington,126,9,135,"1,328.60",2
