County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,691,48,739,157.2,21,5/11/20
Adams,3,,3,70.6,,5/11/20
Bannock,9,4,13,14.9,,5/11/20
Bear Lake,,,0,,,5/11/20
Benewah,,,0,,,5/11/20
Bingham,4,,4,8.7,,5/11/20
Blaine,496,10,506,"2,238.80",5,5/11/20
Boise,,,0,,,5/11/20
Bonner,4,,4,8.9,,5/11/20
Bonneville,17,13,30,25.7,,5/11/20
Boundary,,,0,,,5/11/20
Butte,,,0,,,5/11/20
Camas,1,,1,88.7,,5/11/20
Canyon,254,20,274,122.6,7,5/11/20
Caribou,1,,1,14.2,,5/11/20
Cassia,15,,15,62.9,1,5/11/20
Clark,,,0,,,5/11/20
Clearwater,,,0,,,5/11/20
Custer,2,,2,46.7,,5/11/20
Elmore,30,1,31,113.7,2,5/11/20
Franklin,,,0,,,5/11/20
Fremont,2,1,3,22.8,,5/11/20
Gem,12,4,16,90.7,,5/11/20
Gooding,15,3,18,118.5,,5/11/20
Idaho,3,,3,18.2,,5/11/20
Jefferson,4,1,5,17,,5/11/20
Jerome,63,12,75,312.3,2,5/11/20
Kootenai,64,,64,39.6,,5/11/20
Latah,5,,5,12.5,,5/11/20
Lemhi,1,,1,12.6,,5/11/20
Lewis,,,0,,,5/11/20
Lincoln,27,2,29,541,,5/11/20
Madison,12,6,18,45.8,,5/11/20
Minidoka,8,3,11,52.8,,5/11/20
Nez Perce,69,9,78,193,19,5/11/20
Oneida,,,0,,,5/11/20
Owyhee,8,,8,68.4,,5/11/20
Payette,14,3,17,72.2,2,5/11/20
Power,2,,2,25.7,,5/11/20
Shoshone,,,0,,,5/11/20
Teton,10,1,11,94.5,,5/11/20
Twin Falls,223,46,269,312.5,11,5/11/20
Valley,2,,2,18.1,,5/11/20
Washington,2,,2,19.7,,5/11/20
