County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"4,228",220,"4,448",946.5,25
Adams,11,1,12,282.4,
Bannock,131,15,146,167.6,1
Bear Lake,2,,2,33.1,
Benewah,29,,29,314.3,
Bingham,82,2,84,181.7,1
Blaine,538,13,551,"2,437.90",5
Boise,10,,10,131,
Bonner,71,4,75,167.7,
Bonneville,156,52,208,178,1
Boundary,7,,7,58.6,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,"2,086",92,"2,178",974.5,11
Caribou,17,1,18,255,
Cassia,292,38,330,"1,382.80",1
Clark,,,0,,
Clearwater,5,1,6,68.5,
Custer,6,,6,140.2,
Elmore,101,2,103,377.9,2
Franklin,30,2,32,,
Fremont,10,1,11,83.5,
Gem,61,7,68,385.6,
Gooding,73,13,86,565.9,1
Idaho,13,,13,78.7,
Jefferson,22,10,32,108.7,
Jerome,277,37,314,"1,307.50",5
Kootenai,715,7,722,447,1
Latah,30,6,36,89.7,
Lemhi,3,,3,37.7,
Lewis,,,0,0,
Lincoln,37,6,43,802.2,
Madison,52,20,72,183.2,
Minidoka,248,29,277,"1,330.10",
Nez Perce,100,12,112,277.2,19
Oneida,7,,7,156,
Owyhee,84,12,96,821,
Payette,169,22,191,811,2
Power,18,2,20,257.5,
Shoshone,8,,8,62.5,
Teton,32,3,35,300.7,
Twin Falls,748,105,853,990.9,25
Valley,26,,26,235.5,
Washington,122,9,131,"1,289.20",2
