County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,764",794,"11,558","2,400.00",12.1,129
Adams,24,1,25,582.2,,1
Bannock,637,34,671,764.2,5.2,4
Bear Lake,30,1,31,506.1,2.3,0
Benewah,121,0,121,"1,301.40",16.9,2
Bingham,481,18,499,"1,066.00",7.6,7
Blaine,588,18,606,"2,632.40",3.1,6
Boise,50,12,62,791.7,3.7,1
Bonner,218,8,226,494.1,4.4,0
Bonneville,"1,574",352,"1,926","1,617.60",24.5,11
Boundary,45,0,45,367.5,2.3,1
Butte,20,0,20,770.1,49.5,0
Camas,3,1,4,361.7,,0
Canyon,"7,027",408,"7,435","3,234.70",16.6,85
Caribou,40,3,43,601,2,0
Cassia,535,52,587,"2,442.80",4.8,4
Clark,18,4,22,"2,603.60",50.7,0
Clearwater,21,1,22,251.3,1.6,0
Custer,37,6,43,996.5,39.7,0
Elmore,243,55,298,"1,083.20",10.9,3
Franklin,54,6,60,432.4,2.1,0
Fremont,111,12,123,939,10.9,2
Gem,216,22,238,"1,314.00",15.8,2
Gooding,207,35,242,"1,594.30",16.9,1
Idaho,44,0,44,264,3.4,0
Jefferson,324,48,372,"1,245.40",17.2,1
Jerome,558,69,627,"2,568.40",18.1,6
Kootenai,"2,243",20,"2,263","1,365.70",6.6,30
Latah,247,10,257,640.8,8.2,0
Lemhi,52,18,70,872.1,,0
Lewis,9,0,9,234.5,,0
Lincoln,61,13,74,"1,379.10",16,0
Madison,225,50,275,689.1,13.3,0
Minidoka,533,37,570,"2,709.30",13.6,4
Nez Perce,299,25,324,801.8,11.3,19
Oneida,19,3,22,485.5,3.2,0
Owyhee,282,29,311,"2,630.50",10.9,5
Payette,639,83,722,"3,014.50",35.2,4
Power,133,2,135,"1,757.60",31.6,0
Shoshone,202,2,204,"1,583.60",5.5,16
Teton,116,17,133,"1,095.40",8.2,0
Twin Falls,"1,585",183,"1,768","2,035.00",17.4,35
Valley,79,6,85,746.1,1.3,1
Washington,283,20,303,"2,972.30",37.8,4
