County,Cases,Deaths,Date
Ada,307,3,4.2.20
Adams,1,0,4.2.20
Bannock,4,0,4.2.20
Bear Lake,0,0,4.2.20
Benewah,0,0,4.2.20
Bingham,2,0,4.2.20
Blaine,351,2,4.2.20
Boise,0,0,4.2.20
Bonner,1,0,4.2.20
Bonneville,3,0,4.2.20
Boundary,0,0,4.2.20
Butte,0,0,4.2.20
Camas,1,0,4.2.20
Canyon,79,1,4.2.20
Caribou,0,0,4.2.20
Cassia,3,1,4.2.20
Clark,0,0,4.2.20
Clearwater,0,0,4.2.20
Custer,2,0,4.2.20
Elmore,9,0,4.2.20
Franklin,0,0,4.2.20
Fremont,1,0,4.2.20
Gem,6,0,4.2.20
Gooding,1,0,4.2.20
Idaho,1,0,4.2.20
Jefferson,3,0,4.2.20
Jerome,8,0,4.2.20
Kootenai,37,0,4.2.20
Latah,1,0,4.2.20
Lemhi,0,0,4.2.20
Lewis,1,0,4.2.20
Lincoln,5,0,4.2.20
Madison,4,0,4.2.20
Minidoka,1,0,4.2.20
Nez Perce,13,2,4.2.20
Oneida,0,0,4.2.20
Owyhee,2,0,4.2.20
Payette,5,0,4.2.20
Power,0,0,4.2.20
Shoshone,0,0,4.2.20
Teton,3,0,4.2.20
Twin Falls,32,0,4.2.20
Valley,3,0,4.2.20
Washington,1,0,4.2.20
