County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,695,49,744,158.3,21
Adams,3,,3,70.6,
Bannock,9,4,13,14.9,
Bear Lake,,,0,,
Benewah,,,0,,
Bingham,4,,4,8.7,
Blaine,496,10,506,"2,238.80",5
Boise,,,0,,
Bonner,4,,4,8.9,
Bonneville,17,13,30,25.7,
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,254,20,274,122.6,6
Caribou,1,,1,14.2,
Cassia,15,,15,62.9,1
Clark,,,0,,
Clearwater,,,0,,
Custer,2,,2,46.7,
Elmore,30,1,31,113.7,2
Franklin,,,0,,
Fremont,2,1,3,22.8,
Gem,12,4,16,90.7,
Gooding,17,3,20,131.6,
Idaho,3,,3,18.2,
Jefferson,4,1,5,17,
Jerome,67,14,81,337.3,2
Kootenai,64,,64,39.6,
Latah,5,,5,12.5,
Lemhi,1,,1,12.6,
Lewis,,,0,,
Lincoln,27,2,29,541,
Madison,12,6,18,45.8,
Minidoka,9,3,12,57.6,
Nez Perce,70,9,79,195.5,19
Oneida,,,0,,
Owyhee,8,,8,68.4,
Payette,14,3,17,72.2,2
Power,3,,3,38.6,
Shoshone,,,0,,
Teton,10,1,11,94.5,
Twin Falls,231,49,280,325.3,11
Valley,2,,2,18.1,
Washington,7,1,8,78.7,
