County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"31,485","4,700","36,185","7,513.70",33.4,332
Adams,177,48,225,"5,239.90",156.4,3
Bannock,"3,702","2,444","6,146","6,999.40",53,56
Bear Lake,190,60,250,"4,081.60",45.7,2
Benewah,338,66,404,"4,345.00",87.8,4
Bingham,"2,217","1,311","3,528","7,536.70",51.3,43
Blaine,"1,422",116,"1,538","6,680.90",19.2,12
Boise,180,55,235,"3,000.90",17,2
Bonner,"1,526",260,"1,786","3,904.80",86.7,12
Bonneville,"7,509","2,535","10,044","8,435.90",65.6,107
Boundary,244,266,510,"4,165.00",51.7,6
Butte,130,28,158,"6,083.90",92.4,0
Camas,42,14,56,"5,063.30",0,0
Canyon,"17,361","2,512","19,873","8,646.10",59,210
Caribou,250,253,503,"7,030.00",76.9,10
Cassia,"2,205",272,"2,477","10,307.90",30.9,20
Clark,44,9,53,"6,272.20",0,0
Clearwater,613,189,802,"9,159.40",66.2,6
Custer,157,39,196,"4,542.30",34.8,2
Elmore,975,307,"1,282","4,660.00",27,9
Franklin,701,196,897,"6,464.40",57.7,8
Fremont,763,90,853,"6,511.90",17.8,13
Gem,"1,064",304,"1,368","7,553.00",46.5,18
Gooding,832,295,"1,127","7,424.70",27.3,17
Idaho,780,198,978,"5,867.90",76.8,15
Jefferson,"1,528",477,"2,005","6,712.20",44.5,14
Jerome,"1,743",425,"2,168","8,880.90",24,16
Kootenai,"10,681","1,204","11,885","7,172.70",92.1,108
Latah,"2,000",114,"2,114","5,270.80",39.4,4
Lemhi,388,67,455,"5,668.40",18.7,9
Lewis,250,85,335,"8,728.50",99,5
Lincoln,337,93,430,"8,013.40",32.6,8
Madison,"4,577",567,"5,144","12,890.00",50.8,13
Minidoka,"1,743",266,"2,009","9,548.90",55.7,22
Nez Perce,"2,720",224,"2,944","7,285.70",63.8,43
Oneida,162,83,245,"5,407.20",51.5,2
Owyhee,767,98,865,"7,316.20",42.3,18
Payette,"1,647",354,"2,001","8,354.60",54.9,22
Power,418,115,533,"6,939.20",31.2,4
Shoshone,754,43,797,"6,186.90",113.9,23
Teton,471,211,682,"5,616.90",41.2,2
Twin Falls,"6,231","1,538","7,769","8,942.40",32.7,112
Valley,333,81,414,"3,634.10",43.9,3
Washington,740,223,963,"9,446.70",81.3,14
