County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"31,689","4,749","36,438","7,566.20",27.9,335
Adams,177,47,224,"5,216.60",163,3
Bannock,"3,707","2,449","6,156","7,010.80",45,57
Bear Lake,190,61,251,"4,098.00",35.4,2
Benewah,338,66,404,"4,345.00",55.6,4
Bingham,"2,218","1,311","3,529","7,538.80",32.8,43
Blaine,"1,423",116,"1,539","6,685.20",10.9,12
Boise,184,54,238,"3,039.20",12.8,2
Bonner,"1,540",267,"1,807","3,950.70",66.3,12
Bonneville,"7,538","2,546","10,084","8,469.50",53.1,107
Boundary,246,268,514,"4,197.60",31.3,6
Butte,130,28,158,"6,083.90",70.6,0
Camas,42,14,56,"5,063.30",0,0
Canyon,"17,393","2,510","19,903","8,659.20",48.4,210
Caribou,250,256,506,"7,072.00",55.9,10
Cassia,"2,211",272,"2,483","10,332.90",29.1,20
Clark,44,9,53,"6,272.20",0,0
Clearwater,613,189,802,"9,159.40",41.9,6
Custer,157,40,197,"4,565.50",19.3,2
Elmore,"1,000",316,"1,316","4,783.50",26.7,9
Franklin,702,196,898,"6,471.60",36,8
Fremont,765,90,855,"6,527.20",12.7,13
Gem,"1,067",304,"1,371","7,569.60",44.2,18
Gooding,833,296,"1,129","7,437.90",26.4,17
Idaho,780,198,978,"5,867.90",55,15
Jefferson,"1,535",483,"2,018","6,755.70",34.6,14
Jerome,"1,744",425,"2,169","8,885.00",23.9,16
Kootenai,"10,725","1,217","11,942","7,207.10",78.3,108
Latah,"2,000",114,"2,114","5,270.80",24.5,4
Lemhi,389,67,456,"5,680.80",6.2,9
Lewis,250,85,335,"8,728.50",78.2,5
Lincoln,337,93,430,"8,013.40",18.6,8
Madison,"4,593",569,"5,162","12,935.10",45.5,13
Minidoka,"1,746",267,"2,013","9,567.90",49.9,22
Nez Perce,"2,720",224,"2,944","7,285.70",37.1,43
Oneida,162,83,245,"5,407.20",40.5,2
Owyhee,768,98,866,"7,324.70",42.3,19
Payette,"1,647",354,"2,001","8,354.60",50.8,22
Power,417,117,534,"6,952.20",21.7,4
Shoshone,760,43,803,"6,233.50",72.5,23
Teton,473,214,687,"5,658.00",45.3,2
Twin Falls,"6,233","1,540","7,773","8,947.00",28.4,112
Valley,362,81,443,"3,888.70",62.9,3
Washington,740,223,963,"9,446.70",68.7,14
