County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"6,066",357,"6,423","1,333.70",40
Adams,14,1,15,349.3,
Bannock,204,17,221,251.7,1
Bear Lake,3,0,3,49,
Benewah,37,0,37,397.9,
Bingham,127,2,129,275.6,2
Blaine,547,15,562,"2,441.20",6
Boise,19,6,25,319.2,
Bonner,98,5,103,225.2,
Bonneville,312,82,394,330.9,1
Boundary,19,0,19,155.2,
Butte,,,0,0,
Camas,1,0,1,90.4,
Canyon,"3,473",125,"3,598","1,565.40",22
Caribou,20,1,21,293.5,
Cassia,344,39,383,"1,593.80",1
Clark,,,0,0,
Clearwater,7,1,8,91.4,
Custer,7,0,7,162.2,
Elmore,126,5,131,476.2,2
Franklin,35,2,37,266.6,
Fremont,29,2,31,236.7,
Gem,100,7,107,590.8,
Gooding,84,16,100,658.8,1
Idaho,21,1,22,132,
Jefferson,50,11,61,204.2,1
Jerome,316,45,361,"1,478.80",6
Kootenai,"1,150",11,"1,161",700.7,1
Latah,50,6,56,139.6,
Lemhi,7,0,7,87.2,
Lewis,,,0,0,
Lincoln,38,6,44,820,
Madison,82,26,108,270.6,
Minidoka,300,28,328,"1,559.00",1
Nez Perce,107,13,120,297,19
Oneida,7,0,7,154.5,
Owyhee,153,13,166,"1,404.00",
Payette,236,23,259,"1,081.40",2
Power,23,2,25,325.5,
Shoshone,32,0,32,248.4,
Teton,46,3,49,403.6,
Twin Falls,841,119,960,"1,105.00",26
Unknown,2,,2,,
Valley,38,2,40,351.1,1
Washington,150,9,159,"1,559.70",2
