County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,338","1,013","12,351","2,564.60",11.8,145
Adams,27,1,28,652.1,6.7,1
Bannock,844,49,893,"1,017.00",11.7,4
Bear Lake,34,1,35,571.4,7,0
Benewah,136,0,136,"1,462.70",15.4,3
Bingham,707,40,747,"1,595.80",31.4,10
Blaine,604,27,631,"2,741.00",13,6
Boise,52,14,66,842.8,1.8,1
Bonner,269,14,283,618.7,9.4,0
Bonneville,"2,020",432,"2,452","2,059.40",29.9,15
Boundary,47,9,56,457.3,12.8,1
Butte,27,0,27,"1,039.70",5.5,0
Camas,16,4,20,"1,808.30",193.8,0
Canyon,"7,432",464,"7,896","3,435.30",12.4,99
Caribou,80,16,96,"1,341.70",67.9,0
Cassia,576,58,634,"2,638.40",22.6,5
Clark,26,5,31,"3,668.60",118.3,0
Clearwater,28,2,30,342.6,6.5,0
Custer,50,7,57,"1,321.00",6.6,0
Elmore,255,64,319,"1,159.50",3.6,3
Franklin,73,12,85,612.6,16.5,0
Fremont,146,15,161,"1,229.10",28.4,3
Gem,245,26,271,"1,496.20",5.5,2
Gooding,223,40,263,"1,732.70",11.3,1
Idaho,85,3,88,528,13.7,0
Jefferson,407,76,483,"1,617.00",33,1
Jerome,636,88,724,"2,965.80",25.8,7
Kootenai,"2,449",25,"2,474","1,493.10",11.2,33
Latah,297,13,310,772.9,11,0
Lemhi,54,18,72,897,,0
Lewis,12,0,12,312.7,,0
Lincoln,68,19,87,"1,621.30",10.7,0
Madison,390,96,486,"1,217.80",55.8,1
Minidoka,577,43,620,"2,946.90",24.4,7
Nez Perce,361,29,390,965.2,6.4,24
Oneida,20,3,23,507.6,3.2,0
Owyhee,293,30,323,"2,732.00",2.4,5
Payette,718,94,812,"3,390.30",23.9,6
Power,195,10,205,"2,668.90",76.3,1
Shoshone,210,2,212,"1,645.70",2.2,18
Teton,127,16,143,"1,177.70",4.7,0
Twin Falls,"1,821",216,"2,037","2,344.70",26.6,35
Valley,80,6,86,754.9,,1
Washington,311,22,333,"3,266.60",21,5
