County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,949","1,450","14,399","2,989.90",22,153
Adams,27,2,29,675.4,6.7,2
Bannock,"1,199",257,"1,456","1,658.20",21.2,8
Bear Lake,51,2,53,865.3,4.7,1
Benewah,159,3,162,"1,742.30",18.4,3
Bingham,985,166,"1,151","2,458.80",19.8,10
Blaine,721,41,762,"3,310.00",39.1,6
Boise,58,15,73,932.2,,2
Bonner,361,37,398,870.2,10.9,0
Bonneville,"2,715",655,"3,370","2,830.50",43.6,21
Boundary,51,17,68,555.3,10.5,1
Butte,48,3,51,"1,963.80",27.5,0
Camas,31,7,38,"3,435.80",12.9,0
Canyon,"8,193",572,"8,765","3,813.40",23.3,103
Caribou,113,39,152,"2,124.40",24,2
Cassia,861,90,951,"3,957.60",86.2,8
Clark,33,5,38,"4,497.00",16.9,0
Clearwater,84,12,96,"1,096.40",42.4,0
Custer,70,9,79,"1,830.80",23.2,1
Elmore,315,100,415,"1,508.50",15.6,4
Franklin,171,31,202,"1,455.80",35,1
Fremont,268,28,296,"2,259.70",30.5,3
Gem,314,43,357,"1,971.10",8.7,4
Gooding,314,65,379,"2,496.90",48,2
Idaho,233,12,245,"1,470.00",18,0
Jefferson,608,132,740,"2,477.30",37.8,3
Jerome,773,110,883,"3,617.10",42.1,7
Kootenai,"2,982",62,"3,044","1,837.10",20.6,44
Latah,680,21,701,"1,747.80",28.5,0
Lemhi,107,25,132,"1,644.40",35.6,0
Lewis,49,1,50,"1,302.80",44.7,2
Lincoln,87,21,108,"2,012.70",34.6,0
Madison,"1,247",220,"1,467","3,676.00",146.8,2
Minidoka,814,82,896,"4,258.80",89,8
Nez Perce,489,37,526,"1,301.70",17,24
Oneida,26,3,29,640,,0
Owyhee,320,33,353,"2,985.70",16.9,5
Payette,865,134,999,"4,171.00",35.2,9
Power,269,37,306,"3,983.90",22.3,1
Shoshone,218,2,220,"1,707.80",4.4,18
Teton,207,24,231,"1,902.50",36.5,1
Twin Falls,"2,587",304,"2,891","3,327.70",64.5,40
Valley,96,8,104,912.9,7.5,1
Washington,365,36,401,"3,933.70",19.6,7
