County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"1,378",106,"1,484",315.8,23
Adams,9,1,10,235.3,
Bannock,80,7,87,99.8,1
Bear Lake,,,0,,
Benewah,21,,21,227.6,
Bingham,31,2,33,71.4,
Blaine,513,11,524,"2,318.50",5
Boise,,,0,,
Bonner,19,,19,42.5,
Bonneville,68,35,103,88.1,1
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,489,57,546,244.3,6
Caribou,8,1,9,127.5,
Cassia,163,28,191,800.4,1
Clark,,,0,,
Clearwater,,,0,,
Custer,2,,2,46.7,
Elmore,46,1,47,172.4,2
Franklin,19,2,21,,
Fremont,3,1,4,30.4,
Gem,15,4,19,107.7,
Gooding,51,10,61,401.4,1
Idaho,3,,3,18.2,
Jefferson,11,5,16,54.3,
Jerome,199,33,232,966.1,3
Kootenai,154,1,155,96,1
Latah,8,1,9,22.4,
Lemhi,2,,2,25.1,
Lewis,,,0,,
Lincoln,32,4,36,671.6,
Madison,21,10,31,78.9,
Minidoka,116,20,136,653.1,
Nez Perce,79,12,91,225.2,19
Oneida,,,0,,
Owyhee,16,12,28,239.5,
Payette,48,12,60,254.8,2
Power,14,2,16,206,
Shoshone,,,0,,
Teton,13,1,14,120.3,
Twin Falls,443,89,532,618,25
Valley,4,,4,36.2,
Washington,87,10,97,954.6,
