County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"19,121","2,911","22,032","4,574.90",40.6,215
Adams,72,14,86,"2,002.80",10,2
Bannock,"2,302","1,228","3,530","4,020.10",56.6,25
Bear Lake,121,20,141,"2,302.00",46.6,1
Benewah,223,5,228,"2,452.10",36.9,3
Bingham,"1,550",678,"2,228","4,759.60",84.2,27
Blaine,"1,045",72,"1,117","4,852.10",60.8,7
Boise,88,28,116,"1,481.30",14.6,2
Bonner,697,82,779,"1,703.10",40.9,2
Bonneville,"4,883","1,415","6,298","5,289.70",90.3,52
Boundary,131,164,295,"2,409.10",25.7,1
Butte,96,17,113,"4,351.20",0,0
Camas,39,12,51,"4,611.20",0,0
Canyon,"11,692","1,182","12,874","5,601.10",64.4,132
Caribou,227,161,388,"5,422.80",37.9,8
Cassia,"1,747",155,"1,902","7,915.10",122.5,15
Clark,39,8,47,"5,562.10",50.7,0
Clearwater,297,26,323,"3,688.90",166.4,0
Custer,111,11,122,"2,827.30",46.3,1
Elmore,538,215,753,"2,737.10",18.2,4
Franklin,430,98,528,"3,805.10",90.6,4
Fremont,582,48,630,"4,809.50",74.2,7
Gem,542,109,651,"3,594.30",93.9,5
Gooding,622,223,845,"5,566.90",62.1,9
Idaho,531,33,564,"3,383.90",55.7,4
Jefferson,"1,030",278,"1,308","4,378.80",63.1,6
Jerome,"1,406",262,"1,668","6,832.70",103.6,11
Kootenai,"5,616",499,"6,115","3,690.50",61,63
Latah,"1,383",67,"1,450","3,615.20",85.1,1
Lemhi,358,42,400,"4,983.20",67.6,6
Lewis,145,12,157,"4,090.70",119.1,3
Lincoln,263,55,318,"5,926.20",79.9,8
Madison,"3,116",382,"3,498","8,765.40",131.4,7
Minidoka,"1,422",143,"1,565","7,438.60",102.5,13
Nez Perce,"1,727",154,"1,881","4,655.00",146.4,27
Oneida,77,31,108,"2,383.60",66.2,0
Owyhee,462,46,508,"4,296.70",62.8,5
Payette,"1,191",206,"1,397","5,832.70",68,13
Power,349,72,421,"5,481.10",31.6,3
Shoshone,411,8,419,"3,252.60",71,22
Teton,371,79,450,"3,706.10",61.2,2
Twin Falls,"5,020",976,"5,996","6,901.60",114.1,72
Valley,165,36,201,"1,764.40",25.1,1
Washington,526,97,623,"6,111.40",84.1,9
