County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,"1,723",118,"1,841",391.7,23,6/27/20
Adams,9,1,10,235.3,,6/27/20
Bannock,83,12,95,109,1,6/27/20
Bear Lake,,,0,,,6/27/20
Benewah,21,,21,227.6,,6/27/20
Bingham,34,2,36,77.9,,6/27/20
Blaine,517,11,528,"2,336.20",5,6/27/20
Boise,2,,2,26.2,,6/27/20
Bonner,24,,24,53.7,,6/27/20
Bonneville,71,36,107,91.6,1,6/27/20
Boundary,1,,1,8.4,,6/27/20
Butte,,,0,,,6/27/20
Camas,1,,1,88.7,,6/27/20
Canyon,617,75,692,309.6,6,6/27/20
Caribou,9,1,10,141.6,,6/27/20
Cassia,182,27,209,875.8,1,6/27/20
Clark,,,0,,,6/27/20
Clearwater,1,,1,11.4,,6/27/20
Custer,3,,3,70.1,,6/27/20
Elmore,51,1,52,190.8,2,6/27/20
Franklin,21,2,23,,,6/27/20
Fremont,4,1,5,38,,6/27/20
Gem,16,4,20,113.4,,6/27/20
Gooding,52,10,62,408,1,6/27/20
Idaho,3,,3,18.2,,6/27/20
Jefferson,13,5,18,61.1,,6/27/20
Jerome,199,33,232,966.1,4,6/27/20
Kootenai,186,1,187,115.8,1,6/27/20
Latah,10,1,11,27.4,,6/27/20
Lemhi,2,,2,25.1,,6/27/20
Lewis,,,0,,,6/27/20
Lincoln,32,4,36,671.6,,6/27/20
Madison,22,11,33,84,,6/27/20
Minidoka,132,21,153,734.7,,6/27/20
Nez Perce,81,12,93,230.2,19,6/27/20
Oneida,,,0,,,6/27/20
Owyhee,22,12,34,290.8,,6/27/20
Payette,60,22,82,348.2,2,6/27/20
Power,14,2,16,206,,6/27/20
Shoshone,,,0,,,6/27/20
Teton,14,2,16,137.5,,6/27/20
Twin Falls,460,91,551,640.1,25,6/27/20
Valley,10,,10,90.6,,6/27/20
Washington,88,10,98,964.5,,6/27/20
