County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,"5,170",287,"5,457","1,133.10",32
Adams,12,1,13,302.7,
Bannock,166,17,183,208.4,1
Bear Lake,3,0,3,49,
Benewah,34,0,34,365.7,
Bingham,105,2,107,228.6,1
Blaine,542,13,555,"2,410.80",5
Boise,15,0,15,191.5,
Bonner,84,5,89,194.6,
Bonneville,194,68,262,220.1,1
Boundary,10,0,10,81.7,
Butte,,,0,0,
Camas,1,0,1,90.4,
Canyon,"2,730",104,"2,834","1,233.00",18
Caribou,20,1,21,293.5,
Cassia,307,38,345,"1,435.70",1
Clark,,,0,0,
Clearwater,6,1,7,79.9,
Custer,6,0,6,139,
Elmore,114,3,117,425.3,2
Franklin,33,2,35,252.2,
Fremont,20,2,22,168,
Gem,80,7,87,480.3,
Gooding,81,13,94,619.3,1
Idaho,16,0,16,96,
Jefferson,31,11,42,140.6,
Jerome,302,43,345,"1,413.20",6
Kootenai,927,8,935,564.3,1
Latah,34,6,40,99.7,
Lemhi,6,0,6,74.7,
Lewis,,,0,0,
Lincoln,39,6,45,838.6,
Madison,65,25,90,225.5,
Minidoka,264,29,293,"1,392.70",
Nez Perce,103,13,116,287.1,19
Oneida,7,0,7,154.5,
Owyhee,111,12,123,"1,040.30",
Payette,205,23,228,951.9,2
Power,20,2,22,286.4,
Shoshone,21,0,21,163,
Teton,37,4,41,337.7,
Twin Falls,795,112,907,"1,044.00",25
Valley,32,2,34,298.5,1
Washington,135,9,144,"1,412.60",2
