County,Cases,Deaths,Date
Ada,447,5,4.8.20
Adams,1,0,4.8.20
Bannock,5,0,4.8.20
Bear Lake,0,0,4.8.20
Benewah,0,0,4.8.20
Bingham,2,0,4.8.20
Blaine,428,5,4.8.20
Boise,0,0,4.8.20
Bonner,3,0,4.8.20
Bonneville,7,0,4.8.20
Boundary,0,0,4.8.20
Butte,0,0,4.8.20
Camas,1,0,4.8.20
Canyon,121,3,4.8.20
Caribou,1,0,4.8.20
Cassia,5,1,4.8.20
Clark,0,0,4.8.20
Clearwater,0,0,4.8.20
Custer,2,0,4.8.20
Elmore,14,0,4.8.20
Franklin,0,0,4.8.20
Fremont,2,0,4.8.20
Gem,8,0,4.8.20
Gooding,4,0,4.8.20
Idaho,3,0,4.8.20
Jefferson,4,0,4.8.20
Jerome,19,1,4.8.20
Kootenai,42,0,4.8.20
Latah,2,0,4.8.20
Lemhi,0,0,4.8.20
Lewis,0,0,4.8.20
Lincoln,12,0,4.8.20
Madison,4,0,4.8.20
Minidoka,3,0,4.8.20
Nez Perce,18,2,4.8.20
Oneida,0,0,4.8.20
Owyhee,2,0,4.8.20
Payette,6,0,4.8.20
Power,2,0,4.8.20
Shoshone,0,0,4.8.20
Teton,6,0,4.8.20
Twin Falls,55,1,4.8.20
Valley,2,0,4.8.20
Washington,1,0,4.8.20
