County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,827",801,"11,628","2,414.50",11.3,130
Adams,24,1,25,582.2,,1
Bannock,637,34,671,764.2,4.4,4
Bear Lake,30,1,31,506.1,2.3,0
Benewah,121,0,121,"1,301.40",10.8,2
Bingham,481,18,499,"1,066.00",9.2,7
Blaine,589,18,607,"2,636.70",1.9,6
Boise,50,12,62,791.7,,1
Bonner,221,8,229,500.7,4.7,0
Bonneville,"1,623",359,"1,982","1,664.70",23.5,11
Boundary,45,0,45,367.5,2.3,1
Butte,20,0,20,770.1,44,0
Camas,3,1,4,361.7,,0
Canyon,"7,080",411,"7,491","3,259.10",14.8,85
Caribou,40,3,43,601,2,0
Cassia,536,52,588,"2,446.90",4.2,4
Clark,19,3,22,"2,603.60",16.9,0
Clearwater,21,1,22,251.3,1.6,0
Custer,37,6,43,996.5,26.5,0
Elmore,244,56,300,"1,090.50",8.8,3
Franklin,54,6,60,432.4,3.1,0
Fremont,112,13,125,954.3,10.9,2
Gem,216,22,238,"1,314.00",21.3,2
Gooding,208,35,243,"1,600.90",10.4,1
Idaho,44,0,44,264,0.9,0
Jefferson,327,49,376,"1,258.70",10.5,1
Jerome,570,69,639,"2,617.60",22.2,6
Kootenai,"2,251",20,"2,271","1,370.60",6.8,30
Latah,247,10,257,640.8,5,0
Lemhi,53,18,71,884.5,1.8,0
Lewis,9,0,9,234.5,,0
Lincoln,61,13,74,"1,379.10",18.6,0
Madison,231,51,282,706.6,15.8,0
Minidoka,533,37,570,"2,709.30",13.6,4
Nez Perce,299,25,324,801.8,8.5,19
Oneida,19,3,22,485.5,3.2,0
Owyhee,284,29,313,"2,647.40",9.7,5
Payette,647,83,730,"3,047.90",20.3,4
Power,133,2,135,"1,757.60",27.9,0
Shoshone,202,2,204,"1,583.60",7.8,16
Teton,117,17,134,"1,103.60",10.6,0
Twin Falls,"1,616",181,"1,797","2,068.40",18.4,35
Valley,79,6,85,746.1,1.3,1
Washington,284,20,304,"2,982.10",26.6,4
