County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,838","1,443","14,281","2,965.40",20.9,153
Adams,27,2,29,675.4,6.7,2
Bannock,"1,199",253,"1,452","1,653.60",24.6,8
Bear Lake,51,2,53,865.3,11.7,1
Benewah,159,3,162,"1,742.30",18.4,3
Bingham,986,165,"1,151","2,458.80",21.7,10
Blaine,709,36,745,"3,236.20",28.6,6
Boise,58,15,73,932.2,0,2
Bonner,360,36,396,865.8,10.3,0
Bonneville,"2,669",654,"3,323","2,791.00",43.1,21
Boundary,51,17,68,555.3,10.5,1
Butte,48,3,51,"1,963.80",38.5,0
Camas,31,7,38,"3,435.80",12.9,0
Canyon,"8,192",572,"8,764","3,812.90",23.3,103
Caribou,113,39,152,"2,124.40",26,2
Cassia,856,91,947,"3,940.90",86.2,8
Clark,33,5,38,"4,497.00",16.9,0
Clearwater,84,12,96,"1,096.40",42.4,0
Custer,68,9,77,"1,784.50",16.6,1
Elmore,314,100,414,"1,504.90",16.6,4
Franklin,171,31,202,"1,455.80",41.2,1
Fremont,260,28,288,"2,198.60",27.3,3
Gem,314,43,357,"1,971.10",8.7,4
Gooding,313,65,378,"2,490.30",49.9,2
Idaho,233,12,245,"1,470.00",18,0
Jefferson,593,132,725,"2,427.10",35.4,3
Jerome,768,110,878,"3,596.60",42.1,7
Kootenai,"2,957",61,"3,018","1,821.40",18.4,44
Latah,678,21,699,"1,742.80",28.5,0
Lemhi,106,25,131,"1,632.00",35.6,0
Lewis,49,1,50,"1,302.80",44.7,2
Lincoln,88,20,108,"2,012.70",34.6,0
Madison,"1,176",219,"1,395","3,495.60",141.8,2
Minidoka,809,82,891,"4,235.00",87.6,8
Nez Perce,489,37,526,"1,301.70",17,24
Oneida,26,3,29,640,0,0
Owyhee,320,33,353,"2,985.70",16.9,5
Payette,865,133,998,"4,166.80",34.6,9
Power,268,37,305,"3,970.80",24.2,1
Shoshone,218,2,220,"1,707.80",4.4,18
Teton,200,24,224,"1,844.80",28.2,1
Twin Falls,"2,562",304,"2,866","3,298.90",62,40
Valley,96,8,104,912.9,7.5,1
Washington,365,36,401,"3,933.70",19.6,7
