County,Cases,Deaths,Date
Ada,438,3,4.7.20
Adams,1,0,4.7.20
Bannock,5,0,4.7.20
Bear Lake,0,0,4.7.20
Benewah,0,0,4.7.20
Bingham,2,0,4.7.20
Blaine,428,4,4.7.20
Boise,0,0,4.7.20
Bonner,3,0,4.7.20
Bonneville,7,0,4.7.20
Boundary,0,0,4.7.20
Butte,0,0,4.7.20
Camas,1,0,4.7.20
Canyon,114,3,4.7.20
Caribou,1,0,4.7.20
Cassia,5,1,4.7.20
Clark,0,0,4.7.20
Clearwater,0,0,4.7.20
Custer,2,0,4.7.20
Elmore,14,0,4.7.20
Franklin,0,0,4.7.20
Fremont,2,0,4.7.20
Gem,8,0,4.7.20
Gooding,3,0,4.7.20
Idaho,3,0,4.7.20
Jefferson,4,0,4.7.20
Jerome,18,0,4.7.20
Kootenai,42,0,4.7.20
Latah,2,0,4.7.20
Lemhi,0,0,4.7.20
Lewis,0,0,4.7.20
Lincoln,12,0,4.7.20
Madison,4,0,4.7.20
Minidoka,3,0,4.7.20
Nez Perce,17,2,4.7.20
Oneida,0,0,4.7.20
Owyhee,2,0,4.7.20
Payette,6,1,4.7.20
Power,2,0,4.7.20
Shoshone,0,0,4.7.20
Teton,5,0,4.7.20
Twin Falls,53,1,4.7.20
Valley,2,0,4.7.20
Washington,1,0,4.7.20
