County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,589","1,104","12,693","2,635.70",11,147
Adams,27,1,28,652.1,,2
Bannock,901,71,972,"1,107.00",15.6,4
Bear Lake,41,1,42,685.7,14,1
Benewah,141,0,141,"1,516.50",7.7,3
Bingham,813,68,881,"1,882.00",32.4,10
Blaine,620,28,648,"2,814.80",14.9,6
Boise,53,14,67,855.6,1.8,1
Bonner,299,21,320,699.6,12.5,0
Bonneville,"2,158",480,"2,638","2,215.70",31.8,16
Boundary,47,10,57,465.5,1.2,1
Butte,27,0,27,"1,039.70",5.5,0
Camas,23,4,27,"2,441.20",103.3,0
Canyon,"7,590",497,"8,087","3,518.40",13.8,101
Caribou,88,17,105,"1,467.50",35.9,0
Cassia,635,70,705,"2,933.80",45.2,5
Clark,27,5,32,"3,787.00",50.7,0
Clearwater,42,2,44,502.5,21.2,0
Custer,57,7,64,"1,483.20",19.9,1
Elmore,263,75,338,"1,228.60",10.4,3
Franklin,92,17,109,785.5,28.8,0
Fremont,171,17,188,"1,435.20",38.2,3
Gem,272,35,307,"1,695.00",18.9,2
Gooding,235,45,280,"1,844.70",16.9,1
Idaho,187,11,198,"1,188.00",86.6,0
Jefferson,461,88,549,"1,837.90",42.6,2
Jerome,659,94,753,"3,084.50",18.1,7
Kootenai,"2,608",26,"2,634","1,589.60",15.3,34
Latah,392,17,409,"1,019.70",33.5,0
Lemhi,64,21,85,"1,058.90",23.1,0
Lewis,15,0,15,390.8,11.2,0
Lincoln,69,19,88,"1,640.00",2.7,0
Madison,540,114,654,"1,638.80",76.6,1
Minidoka,612,63,675,"3,208.30",38.7,8
Nez Perce,403,32,435,"1,076.50",13.8,24
Oneida,21,3,24,529.7,3.2,0
Owyhee,296,30,326,"2,757.30",3.6,5
Payette,753,111,864,"3,607.40",34.6,7
Power,212,15,227,"2,955.30",57.7,1
Shoshone,213,2,215,"1,669.00",3.3,18
Teton,146,16,162,"1,334.20",24.7,0
Twin Falls,"1,957",239,"2,196","2,527.70",31.6,37
Valley,84,7,91,798.8,6.3,1
Washington,328,28,356,"3,492.30",35,6
