County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,741","1,121","12,862","2,670.80",12.9,147
Adams,27,1,28,652.1,,2
Bannock,935,90,"1,025","1,167.30",18.2,4
Bear Lake,41,1,42,685.7,9.3,1
Benewah,142,0,142,"1,527.20",9.2,3
Bingham,841,73,914,"1,952.50",30.2,10
Blaine,634,30,664,"2,884.30",20.5,6
Boise,55,15,70,893.9,7.3,2
Bonner,300,21,321,701.8,11.6,0
Bonneville,"2,227",489,"2,716","2,281.20",38.5,16
Boundary,47,10,57,465.5,1.2,1
Butte,30,0,30,"1,155.20",16.5,0
Camas,27,4,31,"2,802.90",103.3,0
Canyon,"7,666",502,"8,168","3,553.60",15.7,101
Caribou,94,22,116,"1,621.20",41.9,0
Cassia,653,71,724,"3,012.90",54.1,5
Clark,28,5,33,"3,905.30",67.6,0
Clearwater,42,2,44,502.5,16.3,0
Custer,59,7,66,"1,529.50",26.5,1
Elmore,263,79,342,"1,243.10",10.9,3
Franklin,104,17,121,872,29.9,0
Fremont,182,17,199,"1,519.20",46.9,3
Gem,292,34,326,"1,799.90",32.3,2
Gooding,237,47,284,"1,871.00",20.7,1
Idaho,187,11,198,"1,188.00",86.6,0
Jefferson,479,90,569,"1,904.90",50.2,2
Jerome,662,94,756,"3,096.80",17.6,7
Kootenai,"2,628",26,"2,654","1,601.70",15.5,34
Latah,399,17,416,"1,037.20",32.4,0
Lemhi,72,21,93,"1,158.60",37.4,0
Lewis,15,0,15,390.8,11.2,0
Lincoln,72,19,91,"1,695.90",10.7,0
Madison,619,117,736,"1,844.30",100.2,1
Minidoka,621,64,685,"3,255.90",42.1,8
Nez Perce,403,32,435,"1,076.50",12.7,24
Oneida,23,3,26,573.8,9.5,0
Owyhee,299,30,329,"2,782.70",7.3,5
Payette,764,112,876,"3,657.50",38.8,8
Power,220,16,236,"3,072.50",42.8,1
Shoshone,213,2,215,"1,669.00",3.3,18
Teton,152,16,168,"1,383.60",31.8,0
Twin Falls,"1,983",241,"2,224","2,559.90",28,37
Valley,86,7,93,816.4,7.5,1
Washington,335,26,361,"3,541.30",37.8,6
