County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"16,519","2,546","19,065","3,958.80",44.2,191
Adams,68,12,80,"1,863.10",46.6,2
Bannock,"2,055","1,016","3,071","3,497.40",51.4,17
Bear Lake,97,12,109,"1,779.60",72.3,1
Benewah,196,5,201,"2,161.80",23,3
Bingham,"1,372",501,"1,873","4,001.20",62.3,25
Blaine,934,60,994,"4,317.80",47.8,7
Boise,81,20,101,"1,289.70",23.7,2
Bonner,522,66,588,"1,285.60",20,2
Bonneville,"4,076","1,174","5,250","4,409.50",63.8,40
Boundary,108,143,251,"2,049.80",56,1
Butte,94,17,111,"4,274.20",38.5,0
Camas,38,12,50,"4,520.80",90.4,0
Canyon,"10,296","1,005","11,301","4,916.70",55.2,119
Caribou,215,134,349,"4,877.70",83.9,5
Cassia,"1,502",137,"1,639","6,820.60",87.4,11
Clark,36,7,43,"5,088.80",50.7,0
Clearwater,166,22,188,"2,147.10",39.2,0
Custer,92,11,103,"2,387.00",19.9,1
Elmore,453,188,641,"2,330.00",27.5,4
Franklin,344,77,421,"3,034.00",38.1,3
Fremont,506,40,546,"4,168.30",48,5
Gem,427,70,497,"2,744.00",35.5,6
Gooding,555,191,746,"4,914.70",90.4,9
Idaho,425,25,450,"2,699.90",42.9,1
Jefferson,885,234,"1,119","3,746.10",49.3,5
Jerome,"1,208",208,"1,416","5,800.40",121.1,9
Kootenai,"4,690",365,"5,055","3,050.70",48.5,55
Latah,"1,068",46,"1,114","2,777.50",31.7,1
Lemhi,310,37,347,"4,322.90",110.3,4
Lewis,106,5,111,"2,892.10",74.4,3
Lincoln,234,45,279,"5,199.40",93.2,6
Madison,"2,658",344,"3,002","7,522.50",100.2,7
Minidoka,"1,243",115,"1,358","6,454.70",63.1,10
Nez Perce,"1,155",96,"1,251","3,095.90",89.1,25
Oneida,61,20,81,"1,787.70",53.6,0
Owyhee,395,38,433,"3,662.40",33.8,5
Payette,"1,070",168,"1,238","5,168.90",39.4,11
Power,329,67,396,"5,155.60",33.5,2
Shoshone,309,7,316,"2,453.00",31.1,20
Teton,315,39,354,"2,915.50",61.2,2
Twin Falls,"4,343",733,"5,076","5,842.70",114.6,54
Valley,140,25,165,"1,448.40",41.4,1
Washington,463,66,529,"5,189.30",61.7,8
