County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"10,942",881,"11,823","2,455.00",11.2,138
Adams,25,1,26,605.5,3.3,1
Bannock,682,37,719,818.8,9,4
Bear Lake,30,1,31,506.1,,0
Benewah,124,0,124,"1,333.60",7.7,2
Bingham,541,23,564,"1,204.80",23.2,9
Blaine,590,19,609,"2,645.40",1.9,6
Boise,50,13,63,804.5,1.8,1
Bonner,231,7,238,520.3,5.3,0
Bonneville,"1,689",366,"2,055","1,726.00",21.2,13
Boundary,45,0,45,367.5,1.2,1
Butte,24,0,24,924.1,22,0
Camas,3,1,4,361.7,,0
Canyon,"7,186",432,"7,618","3,314.30",14.1,88
Caribou,42,4,46,642.9,6,0
Cassia,541,53,594,"2,471.90",5.4,5
Clark,20,3,23,"2,721.90",16.9,0
Clearwater,25,2,27,308.4,8.2,0
Custer,38,7,45,"1,042.90",6.6,0
Elmore,250,56,306,"1,112.30",6.2,3
Franklin,55,6,61,439.6,3.1,0
Fremont,118,14,132,"1,007.70",14.2,3
Gem,219,26,245,"1,352.70",11.8,2
Gooding,211,36,247,"1,627.20",6.6,1
Idaho,51,0,51,306,6,0
Jefferson,334,52,386,"1,292.20",8.1,1
Jerome,593,83,676,"2,769.10",30.4,6
Kootenai,"2,302",20,"2,322","1,401.40",7.1,31
Latah,257,10,267,665.7,4.3,0
Lemhi,54,18,72,897,3.6,0
Lewis,10,1,11,286.6,7.4,0
Lincoln,65,15,80,"1,490.90",18.6,0
Madison,259,60,319,799.4,20.8,0
Minidoka,543,40,583,"2,771.00",11.5,6
Nez Perce,326,25,351,868.6,10.6,20
Oneida,19,3,22,485.5,,0
Owyhee,286,30,316,"2,672.80",7.3,5
Payette,667,89,756,"3,156.40",22.1,4
Power,144,6,150,"1,952.90",27.9,0
Shoshone,204,2,206,"1,599.10",8.9,17
Teton,120,17,137,"1,128.30",11.8,0
Twin Falls,"1,654",186,"1,840","2,117.90",16.1,35
Valley,80,6,86,754.9,1.3,1
Washington,293,22,315,"3,090.10",23.8,4
