County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"20,415","3,040","23,455","4,870.40",26,225
Adams,75,14,89,"2,072.70",10,2
Bannock,"2,488","1,400","3,888","4,427.80",65.9,28
Bear Lake,136,30,166,"2,710.20",77,1
Benewah,246,10,256,"2,753.30",55.3,3
Bingham,"1,671",772,"2,443","5,218.90",85.1,27
Blaine,"1,123",79,"1,202","5,221.30",68.3,7
Boise,96,30,126,"1,609.00",14.6,2
Bonner,747,96,843,"1,843.10",32.8,3
Bonneville,"5,362","1,503","6,865","5,765.90",94.1,56
Boundary,149,179,328,"2,678.60",43.2,1
Butte,100,17,117,"4,505.20",22,0
Camas,40,12,52,"4,701.60",12.9,0
Canyon,"12,566","1,280","13,846","6,024.00",66.9,136
Caribou,233,179,412,"5,758.20",57.9,10
Cassia,"1,836",165,"2,001","8,327.10",92.1,17
Clark,40,8,48,"5,680.50",16.9,0
Clearwater,324,36,360,"4,111.50",176.2,0
Custer,121,12,133,"3,082.30",39.7,1
Elmore,590,229,819,"2,977.00",21.8,6
Franklin,462,131,593,"4,273.60",99.9,4
Fremont,607,49,656,"5,008.00",38.2,8
Gem,612,143,755,"4,168.50",95.4,5
Gooding,656,239,895,"5,896.30",62.1,10
Idaho,602,60,662,"3,971.90",114.9,5
Jefferson,"1,118",295,"1,413","4,730.30",68.9,10
Jerome,"1,491",283,"1,774","7,266.90",86,13
Kootenai,"6,076",575,"6,651","4,014.00",69.9,70
Latah,"1,499",72,"1,571","3,916.90",66.6,1
Lemhi,369,51,420,"5,232.30",58.7,7
Lewis,156,19,175,"4,559.70",96.8,3
Lincoln,276,60,336,"6,261.60",82.5,8
Madison,"3,422",391,"3,813","9,554.70",148.9,7
Minidoka,"1,491",156,"1,647","7,828.30",77.4,14
Nez Perce,"1,832",163,"1,995","4,937.10",113.5,27
Oneida,83,36,119,"2,626.40",78.8,0
Owyhee,525,53,578,"4,888.80",72.5,5
Payette,"1,262",221,"1,483","6,191.80",64.4,13
Power,362,75,437,"5,689.40",35.3,4
Shoshone,449,9,458,"3,555.30",82.1,22
Teton,386,105,491,"4,043.80",61.2,2
Twin Falls,"5,330","1,063","6,393","7,358.60",86,75
Valley,174,41,215,"1,887.30",18.8,1
Washington,565,108,673,"6,601.90",85.5,10
