County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"33,196","5,066","38,262","7,945.00",31.6,355
Adams,198,62,260,"6,055.00",116.4,3
Bannock,"3,865","2,575","6,440","7,334.20",47.5,63
Bear Lake,208,66,274,"4,473.50",56,2
Benewah,347,86,433,"4,656.90",44.6,4
Bingham,"2,276","1,373","3,649","7,795.20",35.4,46
Blaine,"1,444",118,"1,562","6,785.10",16.1,13
Boise,186,54,240,"3,064.70",5.5,2
Bonner,"1,634",326,"1,960","4,285.20",51.8,13
Bonneville,"7,701","2,682","10,383","8,720.70",42.4,117
Boundary,269,299,568,"4,638.60",66.5,7
Butte,134,28,162,"6,238.00",22,0
Camas,42,14,56,"5,063.30",0,0
Canyon,"17,916","2,681","20,597","8,961.10",45.9,219
Caribou,263,271,534,"7,463.30",61.9,10
Cassia,"2,240",297,"2,537","10,557.60",36.3,20
Clark,44,9,53,"6,272.20",0,0
Clearwater,628,200,828,"9,456.40",42.4,6
Custer,162,41,203,"4,704.50",19.9,2
Elmore,"1,027",320,"1,347","4,896.20",17.1,9
Franklin,717,199,916,"6,601.30",19.6,8
Fremont,778,93,871,"6,649.40",21.8,14
Gem,"1,107",309,"1,416","7,818.00",39.4,21
Gooding,845,302,"1,147","7,556.50",19.8,18
Idaho,794,230,"1,024","6,143.90",39.4,15
Jefferson,"1,563",504,"2,067","6,919.80",29.7,15
Jerome,"1,782",435,"2,217","9,081.60",29.3,16
Kootenai,"11,296","1,316","12,612","7,611.50",60.9,116
Latah,"2,034",120,"2,154","5,370.50",13.2,6
Lemhi,391,71,462,"5,755.60",21.4,9
Lewis,252,90,342,"8,910.90",26.1,5
Lincoln,341,93,434,"8,088.00",8,9
Madison,"4,649",599,"5,248","13,150.60",40.5,18
Minidoka,"1,768",294,"2,062","9,800.80",37.3,23
Nez Perce,"2,792",235,"3,027","7,491.10",28.3,44
Oneida,163,87,250,"5,517.50",15.8,2
Owyhee,788,98,886,"7,493.90",25.4,20
Payette,"1,693",369,"2,062","8,609.20",38.2,24
Power,422,124,546,"7,108.40",22.3,4
Shoshone,794,46,840,"6,520.70",43.2,26
Teton,485,238,723,"5,954.50",50.6,2
Twin Falls,"6,336","1,610","7,946","9,146.20",29.4,113
Valley,389,93,482,"4,231.00",57.7,3
Washington,757,237,994,"9,750.80",46.2,14
