County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,203",961,"12,164","2,525.80",9.7,143
Adams,25,1,26,605.5,,1
Bannock,785,43,828,943,11.1,4
Bear Lake,30,1,31,506.1,,0
Benewah,133,0,133,"1,430.40",12.3,3
Bingham,604,32,636,"1,358.70",11.3,10
Blaine,597,24,621,"2,697.50",7.5,6
Boise,52,13,65,830,3.7,1
Bonner,257,13,270,590.3,9.4,0
Bonneville,"1,889",430,"2,319","1,947.70",30.2,14
Boundary,47,9,56,457.3,12.8,1
Butte,26,0,26,"1,001.20",5.5,0
Camas,13,4,17,"1,537.10",167.9,0
Canyon,"7,355",454,"7,809","3,397.40",11.6,96
Caribou,64,11,75,"1,048.20",32,0
Cassia,562,57,619,"2,575.90",14.9,5
Clark,23,5,28,"3,313.60",67.6,0
Clearwater,28,1,29,331.2,4.9,0
Custer,49,7,56,"1,297.80",33.1,0
Elmore,253,64,317,"1,152.30",5.7,3
Franklin,63,7,70,504.5,4.1,0
Fremont,134,15,149,"1,137.50",20.7,3
Gem,242,26,268,"1,479.70",16.6,2
Gooding,219,40,259,"1,706.30",11.3,1
Idaho,84,1,85,510,26.6,0
Jefferson,380,72,452,"1,513.20",29.7,1
Jerome,626,86,712,"2,916.60",21.7,7
Kootenai,"2,395",24,"2,419","1,459.90",8.5,33
Latah,285,14,299,745.5,10.7,0
Lemhi,54,18,72,897,,0
Lewis,12,0,12,312.7,3.7,0
Lincoln,67,17,84,"1,565.40",8,0
Madison,345,91,436,"1,092.50",43.7,1
Minidoka,566,43,609,"2,894.60",18.3,7
Nez Perce,360,29,389,962.7,7.4,23
Oneida,19,3,22,485.5,,0
Owyhee,293,30,323,"2,732.00",6,5
Payette,702,89,791,"3,302.60",20.3,6
Power,162,9,171,"2,226.30",33.5,0
Shoshone,209,2,211,"1,637.90",5.5,18
Teton,125,17,142,"1,169.50",3.5,0
Twin Falls,"1,767",209,"1,976","2,274.50",21.7,35
Valley,80,6,86,754.9,,1
Washington,303,21,324,"3,178.30",12.6,4
