County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"18,843","2,880","21,723","4,510.70",41.8,208
Adams,72,14,86,"2,002.80",10,2
Bannock,"2,280","1,200","3,480","3,963.20",54.3,22
Bear Lake,119,19,138,"2,253.10",42,1
Benewah,217,5,222,"2,387.60",29.2,3
Bingham,"1,518",641,"2,159","4,612.20",71.4,27
Blaine,"1,025",70,"1,095","4,756.50",56.5,7
Boise,88,26,114,"1,455.80",10.9,2
Bonner,662,81,743,"1,624.40",36.2,2
Bonneville,"4,768","1,370","6,138","5,155.30",82.7,44
Boundary,128,164,292,"2,384.60",37.3,1
Butte,96,17,113,"4,351.20",5.5,0
Camas,39,12,51,"4,611.20",0,0
Canyon,"11,555","1,150","12,705","5,527.50",66.4,131
Caribou,226,156,382,"5,338.90",51.9,5
Cassia,"1,720",152,"1,872","7,790.30",119.5,14
Clark,39,8,47,"5,562.10",50.7,0
Clearwater,285,24,309,"3,529.00",172.9,0
Custer,111,11,122,"2,827.30",62.9,1
Elmore,529,215,744,"2,704.40",28.6,4
Franklin,405,87,492,"3,545.70",65.9,4
Fremont,579,48,627,"4,786.60",75.3,7
Gem,524,105,629,"3,472.80",80.5,6
Gooding,617,223,840,"5,534.00",73.4,9
Idaho,504,31,535,"3,209.90",44.6,4
Jefferson,"1,015",271,"1,286","4,305.20",59.8,5
Jerome,"1,384",255,"1,639","6,713.90",104.2,10
Kootenai,"5,437",466,"5,903","3,562.50",53.6,62
Latah,"1,346",62,"1,408","3,510.50",74.8,1
Lemhi,356,38,394,"4,908.40",74.7,5
Lewis,142,10,152,"3,960.40",119.1,3
Lincoln,254,52,306,"5,702.60",55.9,7
Madison,"3,053",372,"3,425","8,582.50",119.9,7
Minidoka,"1,402",141,"1,543","7,334.00",103.2,12
Nez Perce,"1,581",143,"1,724","4,266.50",100.8,27
Oneida,68,26,94,"2,074.60",37.8,0
Owyhee,452,43,495,"4,186.80",58,5
Payette,"1,172",195,"1,367","5,707.50",63.8,13
Power,345,72,417,"5,429.00",27.9,2
Shoshone,380,8,388,"3,012.00",65.4,21
Teton,367,74,441,"3,632.00",75.3,2
Twin Falls,"4,969",928,"5,897","6,787.70",108.9,67
Valley,165,33,198,"1,738.10",28.8,1
Washington,520,87,607,"5,954.50",77.1,9
