County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,739,53,792,168.5,23,5/20/20
Adams,3,,3,70.6,,5/20/20
Bannock,12,4,16,18.4,,5/20/20
Bear Lake,,,0,,,5/20/20
Benewah,,,0,,,5/20/20
Bingham,6,,6,13,,5/20/20
Blaine,498,11,509,"2,252.10",5,5/20/20
Boise,,,0,,,5/20/20
Bonner,4,,4,8.9,,5/20/20
Bonneville,18,14,32,27.4,,5/20/20
Boundary,,,0,,,5/20/20
Butte,,,0,,,5/20/20
Camas,1,,1,88.7,,5/20/20
Canyon,260,20,280,125.3,6,5/20/20
Caribou,1,,1,14.2,,5/20/20
Cassia,19,1,20,83.8,1,5/20/20
Clark,,,0,,,5/20/20
Clearwater,,,0,,,5/20/20
Custer,2,,2,46.7,,5/20/20
Elmore,30,1,31,113.7,2,5/20/20
Franklin,,,0,,,5/20/20
Fremont,2,1,3,22.8,,5/20/20
Gem,12,4,16,90.7,,5/20/20
Gooding,24,5,29,190.8,,5/20/20
Idaho,3,,3,18.2,,5/20/20
Jefferson,5,2,7,23.8,,5/20/20
Jerome,91,19,110,458,2,5/20/20
Kootenai,66,,66,40.9,,5/20/20
Latah,5,1,6,14.9,,5/20/20
Lemhi,1,,1,12.6,,5/20/20
Lewis,,,0,,,5/20/20
Lincoln,27,2,29,541,,5/20/20
Madison,12,8,20,50.9,,5/20/20
Minidoka,16,4,20,96,,5/20/20
Nez Perce,72,9,81,200.5,19,5/20/20
Oneida,,,0,,,5/20/20
Owyhee,8,,8,68.4,,5/20/20
Payette,18,4,22,93.4,2,5/20/20
Power,3,,3,38.6,,5/20/20
Shoshone,,,0,,,5/20/20
Teton,10,1,11,94.5,,5/20/20
Twin Falls,277,63,340,395,17,5/20/20
Valley,2,,2,18.1,,5/20/20
Washington,31,1,32,314.9,,5/20/20
