County,Confirmed,Probable,Cases,Cumulative Incidence Rate,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"12,547","1,328","13,875","2,881.10",18.7,153
Adams,27,2,29,675.4,6.7,2
Bannock,"1,144",202,"1,346","1,532.90",36.6,8
Bear Lake,48,2,50,816.3,9.3,1
Benewah,159,3,162,"1,742.30",16.9,3
Bingham,965,137,"1,102","2,354.10",37.2,10
Blaine,680,35,715,"3,105.90",18.6,6
Boise,58,15,73,932.2,1.8,2
Bonner,351,32,383,837.4,11.6,0
Bonneville,"2,531",615,"3,146","2,642.30",35.4,19
Boundary,49,14,63,514.5,4.7,1
Butte,44,2,46,"1,771.30",71.5,0
Camas,31,7,38,"3,435.80",12.9,0
Canyon,"8,018",549,"8,567","3,727.20",16.9,103
Caribou,108,32,140,"1,956.70",24,2
Cassia,780,88,868,"3,612.20",57.7,7
Clark,33,5,38,"4,497.00",50.7,0
Clearwater,73,9,82,936.5,47.3,0
Custer,67,9,76,"1,761.30",16.6,1
Elmore,304,91,395,"1,435.80",13,4
Franklin,154,22,176,"1,268.40",45.3,1
Fremont,252,28,280,"2,137.60",70.9,3
Gem,306,43,349,"1,926.90",6.3,4
Gooding,292,63,355,"2,338.80",48,1
Idaho,225,12,237,"1,422.00",20.6,0
Jefferson,566,122,688,"2,303.20",37.3,3
Jerome,739,108,847,"3,469.60",33.4,7
Kootenai,"2,892",47,"2,939","1,773.70",16.4,42
Latah,650,19,669,"1,668.00",43.8,0
Lemhi,98,25,123,"1,532.30",28.5,0
Lewis,44,0,44,"1,146.40",33.5,2
Lincoln,79,20,99,"1,844.90",18.6,0
Madison,"1,024",196,"1,220","3,057.10",124.9,2
Minidoka,731,76,807,"3,835.70",53.6,8
Nez Perce,471,37,508,"1,257.20",15.9,24
Oneida,26,3,29,640,6.3,0
Owyhee,319,31,350,"2,960.30",14.5,5
Payette,846,124,970,"4,049.90",34.6,9
Power,259,30,289,"3,762.50",61.4,1
Shoshone,216,2,218,"1,692.30",2.2,18
Teton,189,24,213,"1,754.20",25.9,1
Twin Falls,"2,371",283,"2,654","3,054.90",43.1,40
Valley,95,8,103,904.1,8.8,1
Washington,359,33,392,"3,845.40",25.2,6
